event_subject,event_subject_type,event_subject_id,relation_id
madre biológica,LegalAgent,argument0626,privilege0104
periodos,LegalConcept,argument0743,privilege0105
contrato de relevo,LegalConcept,argument0285,privilege0106
contrato de trabajo,LegalConcept,argument0286,privilege0107
pacto de no competencia,LegalConcept,argument0719,privilege0108
contrato,LegalConcept,argument0283,privilege0109
decisión extintiva,LegalConcept,argument0340,privilege0110
convenios colectivos,LegalConcept,argument0306,privilege0112
excedencia,LegalConcept,argument0483,privilege0113
negociación colectiva,LegalEntity,argument0668,privilege0114
empresa,LegalAgent,argument0445,privilege0115
se,LegalConcept,argument0885,privilege0116
convenios colectivos de ámbito sectorial,LegalEntity,argument0308,privilege0117
trabajadores,LegalAgent,argument0933,privilege0118
convenios colectivos,LegalEntity,argument0306,privilege0119
Gobierno,LegalEntity,argument0042,privilege0120
progenitor,LegalAgent,argument0786,privilege0121
negociación colectiva,LegalConcept,argument0668,privilege0122
ley,LegalConcept,argument0593,privilege0123
Gobierno,LegalEntity,argument0042,privilege0124
"convenios colectivos sectoriales estatales y de ámbito inferior, incluidos los convenios de empresa",LegalConcept,argument0309,privilege0125
