event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
Fondo de Garantía Salarial,empresarios,aportaciones,se financiará,LegalConcept,LegalAgent,argument0041,argument0455,argument0157,trigger0563,duty0048
actividad de trabajo en el mar,,buque,se considerará,LegalConcept,LegalConcept,argument0132,,argument0182,trigger0530,duty0049
relaciones laborales de carácter especial,,residencia,se considerarán,LegalConcept,LegalConcept,argument0836,,argument0858,trigger0533,duty0050
cedente y el cesionario,,obligaciones laborales,responderán solidariamente,LegalEntity,LegalConcept,argument0208,,argument0694,trigger0510,duty0051
duración del descanso semanal de los menores de dieciocho años,,,será,LegalConcept,LegalConcept,argument0412,,,trigger0610,duty0052
trabajadores fijos-discontinuos,,,serán llamados,LegalAgent,LegalConcept,argument0944,,,trigger0630,duty0053
régimen de horas complementarias,,,continuará siendo de aplicación,LegalConcept,LegalConcept,argument0875,,,trigger0089,duty0054
Ambas partes,,,estarán obligadas a negociar,LegalEntity,LegalConcept,argument0002,,,trigger0233,duty0055
trabajador,,,procederá la apertura de expediente contradictorio,LegalAgent,LegalConcept,argument0925,,,trigger0462,duty0056
certificaciones,,,consignarán,LegalConcept,LegalConcept,argument0212,,,trigger0079,duty0057
negociación colectiva,términos de su ejercicio,criterios y sistemas,pactarán,LegalConcept,LegalConcept,argument0668,argument0966,argument0319,trigger0348,duty0058
los convocantes,,,se requerirá,LegalEntity,LegalConcept,argument0610,,,trigger0599,duty0059
Los derechos y obligaciones concernientes a la relación laboral,,,se regulan,LegalConcept,LegalConcept,argument0086,,,trigger0598,duty0060
El trabajador,,,correrá a cargo,LegalAgent,LegalConcept,argument0030,,,trigger0095,duty0061
Las discrepancias que surjan entre empresarios y trabajadores,,,se resolverán,LegalConcept,LegalConcept,argument0068,,,trigger0600,duty0062
comités de empresa o centro de trabajo,,,elegirán,LegalEntity,LegalConcept,argument0234,,,trigger0202,duty0063
partes negociadoras,,,corresponderá,LegalEntity,LegalConcept,argument0730,,,trigger0097,duty0064
duración de la jornada,,,deberá ser,LegalConcept,LegalConcept,argument0411,,,trigger0143,duty0065
adopción del acuerdo de extinción,,,exige,LegalConcept,LegalConcept,argument0145,,,trigger0245,duty0066
empresario,,centro de trabajo,deberá facilitar,LegalAgent,LegalConcept,argument0449,,argument0211,trigger0122,duty0067
Fondo,,,se calcularán,LegalEntity,LegalConcept,argument0040,,,trigger0522,duty0068
oficina pública,,preavisos,expondrá,LegalEntity,LegalConcept,argument0700,,argument0767,trigger0250,duty0069
nacimiento,contrato de trabajo,,suspenderá,LegalConcept,LegalConcept,argument0664,argument0286,,trigger0650,duty0070
derechos y obligaciones,,,se regulan,LegalConcept,LegalConcept,argument0368,,,trigger0598,duty0071
reparto de miembros,,derecho de todos los legitimados,se efectuará,LegalConcept,LegalConcept,argument0842,,argument0361,trigger0547,duty0072
reparto de miembros,,proporción a su representatividad,se efectuará,LegalConcept,LegalConcept,argument0842,,argument0790,trigger0547,duty0073
comité de empresa,,conjunto de los trabajadores,es,LegalEntity,LegalConcept,argument0231,,argument0266,trigger0213,duty0074
comité de empresa,,defensa de sus intereses,es,LegalEntity,LegalConcept,argument0231,,argument0345,trigger0213,duty0075
Fondo de Garantía Salarial,,protección regulada en este artículo,dispensará,LegalEntity,LegalConcept,argument0041,,argument0793,trigger0192,duty0076
Fondo de Garantía Salarial,,créditos impagados de los trabajadores,dispensará,LegalEntity,LegalConcept,argument0041,,argument0321,trigger0192,duty0077
empresario,representantes de los trabajadores,,remitirá,LegalAgent,LegalAgent,argument0449,argument0850,,trigger0500,duty0078
empresario,autoridad laboral,,remitirá,LegalAgent,LegalAgent,argument0449,argument0177,,trigger0500,duty0079
dirección de la empresa,,,deberá comunicar,LegalEntity,LegalConcept,argument0388,,,trigger0113,duty0080
desplazamientos,,,tendrán,LegalConcept,LegalConcept,argument0377,,,trigger0676,duty0081
decisión de extensión,,,se adoptará,LegalConcept,LegalConcept,argument0338,,,trigger0515,duty0082
permiso,,,tendrá,LegalConcept,LegalConcept,argument0746,,,trigger0651,duty0083
organizaciones sindicales y asociaciones empresariales,,,establecer,LegalEntity,LegalConcept,argument0707,,,trigger0214,duty0084
obligaciones de información y documentación,,,aplicarán,LegalConcept,LegalConcept,argument0691,,,trigger0046,duty0085
partes,,,deberán negociar,LegalConcept,LegalConcept,argument0728,,,trigger0164,duty0086
La impartición de esta formación,,,deberá justificarse,LegalConcept,LegalConcept,argument0057,,,trigger0133,duty0087
"El disfrute de cada período semanal o, en su caso, de la acumulación de dichos períodos",,,deberá comunicarse,LegalConcept,LegalConcept,argument0026,,,trigger0114,duty0088
los acuerdos,,,existirá,LegalConcept,LegalConcept,argument0607,,,trigger0247,duty0089
resolución,,declaración de insolvencia,será dictada,LegalConcept,LegalConcept,argument0860,,argument0344,trigger0615,duty0090
empresa o centro de trabajo,,mesa,constituirá,LegalEntity,LegalConcept,argument0446,,argument0642,trigger0082,duty0091
intervención como interlocutores,,,regirá,LegalConcept,LegalConcept,argument0548,,,trigger0498,duty0092
retribución,trabajador contratado,,se fijará,LegalConcept,LegalAgent,argument0869,argument0928,,trigger0562,duty0093
contrato,,reglas,se regirá,LegalConcept,LegalConcept,argument0283,,argument0830,trigger0593,duty0094
contrato,,,se entiende,LegalConcept,LegalConcept,argument0283,,,trigger0557,duty0095
contrato,,trabajo en prácticas,podrá concertarse,LegalConcept,LegalConcept,argument0283,,argument0952,trigger0367,duty0096
cedente y el cesionario,,,deberán informar,LegalEntity,LegalConcept,argument0208,,,trigger0163,duty0097
empresario,,resúmenes mensuales,deberá conservar,LegalAgent,LegalConcept,argument0449,,argument0867,trigger0116,duty0098
empresario,,registros de jornada,deberá conservar,LegalAgent,LegalConcept,argument0449,,argument0828,trigger0116,duty0099
La suspensión,,las obligaciones recíprocas de trabajar y remunerar el trabajo,exonera de,LegalConcept,LegalConcept,argument0066,,argument0584,trigger0249,duty0100
unos centros,comités de empresa propios,otros de la misma provincia,se constituirán,LegalConcept,LegalEntity,argument0982,argument0235,argument0716,trigger0536,duty0101
autoridad laboral,entidad gestora,,dará traslado,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0106,duty0102
empresario,,,tenga,LegalAgent,LegalConcept,argument0449,,,trigger0691,duty0103
autoridad laboral,entidad gestora,,podrá impugnar,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0386,duty0104
sentencia,trabajador,contrato de trabajo,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0286,trigger0178,duty0105
sentencia,trabajador,salarios,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0881,trigger0178,duty0106
sentencia,trabajador,importe,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0516,trigger0178,duty0107
sentencia,trabajador,prestaciones por desempleo,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0773,trigger0178,duty0108
sentencia,trabajador,periodo de suspensión,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0741,trigger0178,duty0109
sentencia,trabajador,reintegro,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0834,trigger0178,duty0110
sentencia,trabajador,importe de dichas prestaciones,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0517,trigger0178,duty0111
sentencia,empresario,contrato de trabajo,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0286,trigger0178,duty0112
sentencia,empresario,salarios,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0881,trigger0178,duty0113
sentencia,empresario,importe,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0516,trigger0178,duty0114
sentencia,empresario,prestaciones por desempleo,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0773,trigger0178,duty0115
sentencia,empresario,periodo de suspensión,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0741,trigger0178,duty0116
sentencia,empresario,reintegro,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0834,trigger0178,duty0117
sentencia,empresario,importe de dichas prestaciones,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0517,trigger0178,duty0118
interposición del conflicto,,tramitación de las acciones individuales,paralizará,LegalConcept,LegalConcept,argument0545,,argument0957,trigger0349,duty0119
árbitro,,tres días hábiles,dictará,LegalAgent,LegalConcept,argument0997,,argument0963,trigger0189,duty0120
árbitro,,comparecencia,dictará,LegalAgent,LegalConcept,argument0997,,argument0237,trigger0189,duty0121
árbitro,,pruebas,dictará,LegalAgent,LegalConcept,argument0997,,argument0796,trigger0189,duty0122
árbitro,,personación en el centro de trabajo,dictará,LegalAgent,LegalConcept,argument0997,,argument0752,trigger0189,duty0123
árbitro,,solicitud de la colaboración necesaria del empresario y las Administraciones Públicas,dictará,LegalAgent,LegalConcept,argument0997,,argument0900,trigger0189,duty0124
sanción de las faltas graves y muy graves,trabajador,comunicación escrita,requerirá,LegalConcept,LegalAgent,argument0884,argument0925,argument0248,trigger0501,duty0125
sanción de las faltas graves y muy graves,trabajador,fecha,requerirá,LegalConcept,LegalAgent,argument0884,argument0925,argument0497,trigger0501,duty0126
sanción de las faltas graves y muy graves,trabajador,hechos,requerirá,LegalConcept,LegalAgent,argument0884,argument0925,argument0511,trigger0501,duty0127
autoridad laboral,,,pondrá,LegalEntity,LegalConcept,argument0177,,,trigger0448,duty0128
empresario,trabajador,,abonará,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0033,duty0129
secciones sindicales,,,corresponderá,LegalEntity,LegalConcept,argument0886,,,trigger0097,duty0130
escrito,,Copia de la comunicación dirigida a los trabajadores o a sus representantes por la dirección de la empresa de su intención de iniciar el procedimiento de despido colectivo,se consignarán,LegalConcept,LegalConcept,argument0472,,argument0007,trigger0534,duty0131
derecho,Fondo de Garantía Salarial,pago de las prestaciones,prescribirá,LegalConcept,LegalEntity,argument0358,argument0041,argument0720,trigger0450,duty0132
los que no hubieran sido dados de alta en la Seguridad Social,,,Adquirirán,LegalAgent,LegalConcept,argument0614,,,trigger0000,duty0133
trabajadores,,,tienen,LegalAgent,LegalConcept,argument0933,,,trigger0695,duty0134
contrato,,número de horas ordinarias de trabajo,deberá figurar,LegalConcept,LegalConcept,argument0283,,argument0683,trigger0124,duty0135
empresario,,centro de trabajo,deberá facilitar,LegalAgent,LegalConcept,argument0449,,argument0211,trigger0122,duty0136
escrito,,,deberá presentarse,LegalConcept,LegalConcept,argument0472,,,trigger0137,duty0137
establecimiento de planes de igualdad,empresas,,se ajustará,LegalConcept,LegalEntity,argument0477,argument0456,,trigger0516,duty0138
miembros del comité o delegado de personal,,,Disponer,LegalAgent,LegalConcept,argument0650,,,trigger0005,duty0139
persona trabajadora,,,deberá comunicar,LegalAgent,LegalConcept,argument0751,,,trigger0113,duty0140
convenio colectivo o acuerdo,,prioridades de permanencia,establecer,LegalConcept,LegalConcept,argument0303,,argument0775,trigger0214,duty0141
convenio colectivo o acuerdo,,otros colectivos,establecer,LegalConcept,LegalConcept,argument0303,,argument0715,trigger0214,duty0142
convenio colectivo o acuerdo,,trabajadores con cargas familiares,establecer,LegalConcept,LegalConcept,argument0303,,argument0937,trigger0214,duty0143
convenio colectivo o acuerdo,,mayores de determinada edad,establecer,LegalConcept,LegalConcept,argument0303,,argument0630,trigger0214,duty0144
convenio colectivo o acuerdo,,personas con discapacidad,establecer,LegalConcept,LegalConcept,argument0303,,argument0756,trigger0214,duty0145
cada elector,,,dar,LegalAgent,LegalConcept,argument0183,,,trigger0101,duty0146
persona,,derecho,ejerza,LegalAgent,LegalConcept,argument0747,,argument0358,trigger0198,duty0147
persona,,duración,ejerza,LegalAgent,LegalConcept,argument0747,,argument0410,trigger0198,duty0148
persona,,régimen,ejerza,LegalAgent,LegalConcept,argument0747,,argument0874,trigger0198,duty0149
persona,,otro progenitor,ejerza,LegalAgent,LegalConcept,argument0747,,argument0713,trigger0198,duty0150
persona,,reserva de puesto de trabajo,ejerza,LegalAgent,LegalConcept,argument0747,,argument0857,trigger0198,duty0151
persona,,máximo de dieciocho meses,ejerza,LegalAgent,LegalConcept,argument0747,,argument0663,trigger0198,duty0152
se,alguna reclamación,en el acta,hará constar,LegalAgent,LegalAgent,argument0885,argument0149,argument0463,trigger0278,duty0153
La liquidación y el pago del salario,,,se harán,LegalConcept,LegalConcept,argument0059,,,trigger0567,duty0154
se,aquel,,se considerará,LegalAgent,LegalAgent,argument0885,argument0158,,trigger0530,duty0155
diferencias,distribución irregular de la jornada,,deberán quedar compensadas,LegalConcept,LegalConcept,argument0387,argument0407,,trigger0166,duty0156
convenios,,,deberán ser presentados,LegalConcept,LegalConcept,argument0305,,,trigger0174,duty0157
consulta,,,deberá permitir,LegalConcept,LegalConcept,argument0271,,,trigger0135,duty0158
mesa,,,resolverá,LegalEntity,LegalConcept,argument0642,,,trigger0504,duty0159
ley,trabajadores,,será de aplicación,LegalConcept,LegalAgent,argument0593,argument0933,,trigger0614,duty0160
La documentación del salario,,,realizará,LegalConcept,LegalConcept,argument0054,,,trigger0490,duty0161
el trabajador,,,conservará,LegalAgent,LegalConcept,argument0436,,,trigger0072,duty0162
ley,,,dicta,LegalConcept,LegalConcept,argument0593,,,trigger0188,duty0163
convenios colectivos,,,obligan a,LegalConcept,LegalConcept,argument0306,,,trigger0337,duty0164
"empresas principal, contratista o subcontratista",,libro registro,deberá disponer,LegalEntity,LegalConcept,argument0459,,argument0597,trigger0119,duty0165
el Fondo de Garantía Salarial,la institución de garantía del Estado,,estará obligado a proporcionar,LegalEntity,LegalEntity,argument0424,argument0569,,trigger0225,duty0166
se,,,aplicarán,LegalConcept,LegalConcept,argument0885,,,trigger0046,duty0167
Dicha información,,,deberá facilitarse,LegalConcept,LegalConcept,argument0011,,,trigger0123,duty0168
empresa,,,prescribirán,LegalAgent,LegalConcept,argument0445,,,trigger0451,duty0169
empresa,,,deberá informar,LegalAgent,LegalConcept,argument0445,,,trigger0128,duty0170
árbitro,,,convocará,LegalAgent,LegalConcept,argument0997,,,trigger0094,duty0171
cedente y el cesionario,,,deberán informar,LegalEntity,LegalConcept,argument0208,,,trigger0163,duty0172
traslado,,,deberá ir precedido,LegalConcept,LegalConcept,argument0959,,,trigger0132,duty0173
trabajador,,,desempeñada,LegalAgent,LegalConcept,argument0925,,,trigger0183,duty0174
empresario,trabajadores,,deberá establecer,LegalAgent,LegalAgent,argument0449,argument0933,,trigger0120,duty0175
representantes,,,elegirán,LegalAgent,LegalConcept,argument0849,,,trigger0202,duty0176
empresa,,,ajustarán,LegalAgent,LegalConcept,argument0445,,,trigger0045,duty0177
El trabajador,,trabajo convenido,estará obligado a realizar,LegalAgent,LegalConcept,argument0030,,argument0951,trigger0226,duty0178
El trabajador,,dirección del empresario,estará obligado a realizar,LegalAgent,LegalConcept,argument0030,,argument0389,trigger0226,duty0179
El trabajador,,persona en quien este delegue,estará obligado a realizar,LegalAgent,LegalConcept,argument0030,,argument0750,trigger0226,duty0180
empresa,trabajadores,elecciones,dará traslado,LegalAgent,LegalAgent,argument0445,argument0933,argument0437,trigger0106,duty0181
empresa,representantes de los trabajadores,elecciones,dará traslado,LegalAgent,LegalAgent,argument0445,argument0850,argument0437,trigger0106,duty0182
comisión negociadora,partes,acta de la sesión constitutiva de la comisión,deberán consignar,LegalEntity,LegalAgent,argument0226,argument0728,argument0130,trigger0154,duty0183
empresario,"trabajadores de la empresa con contratos de duración determinada o temporales, incluidos los contratos formativos",existencia de puestos de trabajo vacantes,deberá informar,LegalAgent,LegalAgent,argument0449,argument0942,argument0488,trigger0128,duty0184
empresario,trabajador,salarios devengados en los días intermedios,pondrá a disposición,LegalAgent,LegalAgent,argument0449,argument0925,argument0882,trigger0449,duty0185
trabajador,,certificado de los contratos de duración determinada o temporales celebrados,solicitar,LegalAgent,LegalConcept,argument0925,,argument0214,trigger0640,duty0186
trabajadores,,número de firmas de electores de su mismo centro y colegio,presentarse,LegalAgent,LegalConcept,argument0933,,argument0681,trigger0453,duty0187
convenios colectivos,trabajadores,,establecerán medidas,LegalEntity,LegalAgent,argument0306,argument0933,,trigger0217,duty0188
negociación colectiva,,estructura del salario,se determinará,LegalEntity,LegalConcept,argument0668,,argument0482,trigger0543,duty0189
Fondo de Garantía Salarial,derechos y acciones de los trabajadores,,se subrogará,LegalEntity,LegalAgent,argument0041,argument0367,,trigger0603,duty0190
legitimación,,,será,LegalConcept,LegalConcept,argument0592,,,trigger0610,duty0191
Fondo de Garantía Salarial,institución de garantía competente,,prestará,LegalEntity,LegalEntity,argument0041,argument0543,,trigger0455,duty0192
expedientes de regulación de empleo,,,se regirán,LegalConcept,LegalConcept,argument0489,,,trigger0595,duty0193
La indisciplina o desobediencia en el trabajo,,,Se considerarán incumplimientos contractuales,LegalConcept,LegalConcept,argument0058,,,trigger0019,duty0194
La presidencia,,,comunicará,LegalAgent,LegalConcept,argument0063,,,trigger0066,duty0195
Los trabajadores,,,podrán ser sancionados,LegalAgent,LegalConcept,argument0091,,,trigger0443,duty0196
trabajadores,contratista,escrito,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0472,trigger0172,duty0197
trabajadores,contratista,empresario,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0449,trigger0172,duty0198
trabajadores,contratista,identidad,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0515,trigger0172,duty0199
trabajadores,contratista,empresa principal,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0447,trigger0172,duty0200
trabajadores,subcontratista,escrito,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0472,trigger0172,duty0201
trabajadores,subcontratista,empresario,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0449,trigger0172,duty0202
trabajadores,subcontratista,identidad,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0515,trigger0172,duty0203
trabajadores,subcontratista,empresa principal,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0447,trigger0172,duty0204
compensación,,,será exigible,LegalConcept,LegalConcept,argument0238,,,trigger0617,duty0205
contrato para la formación y el aprendizaje,,,se regirá,LegalConcept,LegalConcept,argument0289,,,trigger0593,duty0206
descanso semanal,,,Resultará de aplicación,LegalConcept,LegalConcept,argument0371,,,trigger0013,duty0207
convenio,,,se aplicará,LegalConcept,LegalConcept,argument0301,,,trigger0518,duty0208
mesa electoral,,,cumplirá,LegalEntity,LegalConcept,argument0643,,,trigger0100,duty0209
negociación colectiva,requisitos,contratos de duración determinada,establecerá,LegalEntity,LegalConcept,argument0668,argument0855,argument0291,trigger0216,duty0210
negociación colectiva,requisitos,trabajadores,establecerá,LegalEntity,LegalConcept,argument0668,argument0855,argument0933,trigger0216,duty0211
negociación colectiva,requisitos,puesto de trabajo,establecerá,LegalEntity,LegalConcept,argument0668,argument0855,argument0800,trigger0216,duty0212
cedente,,información mencionada,vendrá obligado,LegalAgent,LegalConcept,argument0207,,argument0532,trigger0709,duty0213
cedente,,apartados anteriores,vendrá obligado,LegalAgent,LegalConcept,argument0207,,argument0155,trigger0709,duty0214
contratistas y subcontratistas,trabajadores,obligaciones de naturaleza salarial,responderá solidariamente,LegalEntity,LegalAgent,argument0282,argument0933,argument0692,trigger0508,duty0215
trabajador,,,deberá reincorporarse,LegalAgent,LegalConcept,argument0925,,,trigger0141,duty0216
promoción,,comunicación fehaciente,deberá acompañarse,LegalConcept,LegalConcept,argument0788,,argument0249,trigger0111,duty0217
contrato para la formación y el aprendizaje,cualificación profesional,,tendrá por objeto,LegalConcept,LegalConcept,argument0289,argument0326,,trigger0670,duty0218
comisión negociadora,,un máximo de trece miembros,estará integrada,LegalConcept,LegalConcept,argument0226,,argument0972,trigger0221,duty0219
empresario,,,organice,LegalAgent,LegalConcept,argument0449,,,trigger0343,duty0220
empresa,,,abrirá,LegalAgent,LegalConcept,argument0445,,,trigger0034,duty0221
normas electorales,,,adaptarán,LegalConcept,LegalConcept,argument0673,,,trigger0038,duty0222
modificación,,,afecte,LegalConcept,LegalConcept,argument0657,,,trigger0042,duty0223
trabajador,empresario,,debe,LegalAgent,LegalEntity,argument0925,argument0449,,trigger0109,duty0224
trabajador,,formación,está obligado a seguir,LegalAgent,LegalConcept,argument0925,,argument0503,trigger0242,duty0225
trabajador,,prácticas,está obligado a seguir,LegalAgent,LegalConcept,argument0925,,argument0797,trigger0242,duty0226
comisión representativa,,,constituirá,LegalEntity,LegalConcept,argument0228,,,trigger0082,duty0227
empresario y el trabajador,,,obligados a realizar,LegalEntity,LegalConcept,argument0453,,,trigger0336,duty0228
autoridad laboral,entidad gestora,,comunicar,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0064,duty0229
conocimiento y resolución de las cuestiones derivadas de la aplicación e interpretación de los convenios colectivos,,,corresponderá,LegalConcept,LegalConcept,argument0267,,,trigger0097,duty0230
horas extraordinarias,,,deberán ser compensadas,LegalConcept,LegalConcept,argument0514,,,trigger0171,duty0231
convenios colectivos,,,se prorrogarán,LegalConcept,LegalConcept,argument0306,,,trigger0590,duty0232
derechos y obligaciones,,,se regulan,LegalConcept,LegalConcept,argument0368,,,trigger0598,duty0233
trabajador,,,podrá impugnarla,LegalAgent,LegalConcept,argument0925,,,trigger0387,duty0234
definición de los grupos profesionales,,,ajustará a criterios y sistemas,LegalConcept,LegalConcept,argument0346,,,trigger0044,duty0235
comité de empresa,,,Colaborar,LegalEntity,LegalConcept,argument0231,,,trigger0001,duty0236
contrato de trabajo,,,suspenderse,LegalConcept,LegalConcept,argument0286,,,trigger0649,duty0237
escrito,,,consignarán,LegalConcept,LegalConcept,argument0472,,,trigger0079,duty0238
resoluciones de la comisión paritaria,,,tendrán,LegalConcept,LegalConcept,argument0859,,,trigger0676,duty0239
cedente y el cesionario,trabajadores,información mencionada en el apartado anterior,deberán facilitar,LegalEntity,LegalAgent,argument0208,argument0933,argument0533,trigger0160,duty0240
opción,,,será,LegalConcept,LegalConcept,argument0702,,,trigger0610,duty0241
comisión,,,asignará,LegalConcept,LegalConcept,argument0224,,,trigger0049,duty0242
Administración laboral,árbitros,,facilitará,LegalEntity,LegalAgent,argument0001,argument0999,,trigger0255,duty0243
