event_subject,event_subject_type,event_subject_id,relation_id
convenio colectivo o acuerdo,LegalConcept,argument0303,duty0145
cada elector,LegalAgent,argument0183,duty0146
persona,LegalAgent,argument0747,duty0147
persona,LegalAgent,argument0747,duty0148
persona,LegalAgent,argument0747,duty0149
persona,LegalAgent,argument0747,duty0150
persona,LegalAgent,argument0747,duty0151
persona,LegalAgent,argument0747,duty0152
se,LegalAgent,argument0885,duty0153
La liquidación y el pago del salario,LegalConcept,argument0059,duty0154
se,LegalAgent,argument0885,duty0155
diferencias,LegalConcept,argument0387,duty0156
convenios,LegalConcept,argument0305,duty0157
consulta,LegalConcept,argument0271,duty0158
mesa,LegalEntity,argument0642,duty0159
ley,LegalConcept,argument0593,duty0160
La documentación del salario,LegalConcept,argument0054,duty0161
el trabajador,LegalAgent,argument0436,duty0162
ley,LegalConcept,argument0593,duty0163
convenios colectivos,LegalConcept,argument0306,duty0164
"empresas principal, contratista o subcontratista",LegalEntity,argument0459,duty0165
el Fondo de Garantía Salarial,LegalEntity,argument0424,duty0166
se,LegalConcept,argument0885,duty0167
Dicha información,LegalConcept,argument0011,duty0168
empresa,LegalAgent,argument0445,duty0169
empresa,LegalAgent,argument0445,duty0170
árbitro,LegalAgent,argument0997,duty0171
cedente y el cesionario,LegalEntity,argument0208,duty0172
traslado,LegalConcept,argument0959,duty0173
trabajador,LegalAgent,argument0925,duty0174
empresario,LegalAgent,argument0449,duty0175
representantes,LegalAgent,argument0849,duty0176
empresa,LegalAgent,argument0445,duty0177
El trabajador,LegalAgent,argument0030,duty0178
El trabajador,LegalAgent,argument0030,duty0179
El trabajador,LegalAgent,argument0030,duty0180
empresa,LegalAgent,argument0445,duty0181
empresa,LegalAgent,argument0445,duty0182
comisión negociadora,LegalEntity,argument0226,duty0183
empresario,LegalAgent,argument0449,duty0184
empresario,LegalAgent,argument0449,duty0185
trabajador,LegalAgent,argument0925,duty0186
trabajadores,LegalAgent,argument0933,duty0187
convenios colectivos,LegalEntity,argument0306,duty0188
negociación colectiva,LegalEntity,argument0668,duty0189
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0190
legitimación,LegalConcept,argument0592,duty0191
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0192
expedientes de regulación de empleo,LegalConcept,argument0489,duty0193
La indisciplina o desobediencia en el trabajo,LegalConcept,argument0058,duty0194
La presidencia,LegalAgent,argument0063,duty0195
Los trabajadores,LegalAgent,argument0091,duty0196
trabajadores,LegalAgent,argument0933,duty0197
trabajadores,LegalAgent,argument0933,duty0198
trabajadores,LegalAgent,argument0933,duty0199
trabajadores,LegalAgent,argument0933,duty0200
trabajadores,LegalAgent,argument0933,duty0201
trabajadores,LegalAgent,argument0933,duty0202
trabajadores,LegalAgent,argument0933,duty0203
trabajadores,LegalAgent,argument0933,duty0204
compensación,LegalConcept,argument0238,duty0205
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0206
descanso semanal,LegalConcept,argument0371,duty0207
convenio,LegalConcept,argument0301,duty0208
mesa electoral,LegalEntity,argument0643,duty0209
negociación colectiva,LegalEntity,argument0668,duty0210
negociación colectiva,LegalEntity,argument0668,duty0211
negociación colectiva,LegalEntity,argument0668,duty0212
cedente,LegalAgent,argument0207,duty0213
cedente,LegalAgent,argument0207,duty0214
contratistas y subcontratistas,LegalEntity,argument0282,duty0215
trabajador,LegalAgent,argument0925,duty0216
promoción,LegalConcept,argument0788,duty0217
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0218
comisión negociadora,LegalConcept,argument0226,duty0219
empresario,LegalAgent,argument0449,duty0220
empresa,LegalAgent,argument0445,duty0221
normas electorales,LegalConcept,argument0673,duty0222
modificación,LegalConcept,argument0657,duty0223
trabajador,LegalAgent,argument0925,duty0224
trabajador,LegalAgent,argument0925,duty0225
trabajador,LegalAgent,argument0925,duty0226
comisión representativa,LegalEntity,argument0228,duty0227
empresario y el trabajador,LegalEntity,argument0453,duty0228
autoridad laboral,LegalEntity,argument0177,duty0229
conocimiento y resolución de las cuestiones derivadas de la aplicación e interpretación de los convenios colectivos,LegalConcept,argument0267,duty0230
horas extraordinarias,LegalConcept,argument0514,duty0231
convenios colectivos,LegalConcept,argument0306,duty0232
derechos y obligaciones,LegalConcept,argument0368,duty0233
trabajador,LegalAgent,argument0925,duty0234
definición de los grupos profesionales,LegalConcept,argument0346,duty0235
comité de empresa,LegalEntity,argument0231,duty0236
contrato de trabajo,LegalConcept,argument0286,duty0237
escrito,LegalConcept,argument0472,duty0238
resoluciones de la comisión paritaria,LegalConcept,argument0859,duty0239
cedente y el cesionario,LegalEntity,argument0208,duty0240
opción,LegalConcept,argument0702,duty0241
comisión,LegalConcept,argument0224,duty0242
Administración laboral,LegalEntity,argument0001,duty0243
empresas,LegalEntity,argument0456,duty0244
empresas,LegalEntity,argument0456,duty0245
empresas,LegalEntity,argument0456,duty0246
empresas,LegalEntity,argument0456,duty0247
empresas,LegalEntity,argument0456,duty0248
empresas,LegalEntity,argument0456,duty0249
empresas,LegalEntity,argument0456,duty0250
empresario,LegalAgent,argument0449,duty0251
comité de empresa,LegalEntity,argument0231,duty0252
empresario,LegalAgent,argument0449,duty0253
normas específicas,LegalConcept,argument0674,duty0254
representantes de los trabajadores,LegalAgent,argument0850,duty0255
plazo,LegalConcept,argument0761,duty0256
El Gobierno,LegalEntity,argument0016,duty0257
del escrito de preaviso,LegalConcept,argument0347,duty0258
Los convenios,LegalEntity,argument0084,duty0259
cesionario,LegalAgent,argument0216,duty0260
comunicación,LegalConcept,argument0245,duty0261
comunicación,LegalConcept,argument0245,duty0262
comunicación,LegalConcept,argument0245,duty0263
comunicación,LegalConcept,argument0245,duty0264
acuerdo,LegalConcept,argument0135,duty0265
acuerdo,LegalConcept,argument0135,duty0266
contrato de relevo,LegalConcept,argument0285,duty0267
normas,LegalConcept,argument0672,duty0268
denegación de la solicitud,LegalConcept,argument0355,duty0269
peculiaridades,LegalConcept,argument0733,duty0270
la suspensión,LegalConcept,argument0576,duty0271
la suspensión,LegalConcept,argument0576,duty0272
la suspensión,LegalConcept,argument0576,duty0273
la equiparación,LegalConcept,argument0568,duty0274
comité de empresa,LegalEntity,argument0231,duty0275
delegados de personal y los miembros del comité de empresa,LegalEntity,argument0349,duty0276
derechos,LegalConcept,argument0365,duty0277
árbitros,LegalAgent,argument0999,duty0278
trabajadores a distancia,LegalAgent,argument0934,duty0279
trabajadores,LegalAgent,argument0933,duty0280
trabajador,LegalAgent,argument0925,duty0281
oficina pública,LegalEntity,argument0700,duty0282
El periodo de vacaciones anuales retribuidas,LegalConcept,argument0027,duty0283
intervención,LegalConcept,argument0547,duty0284
intervención,LegalConcept,argument0547,duty0285
excedencia,LegalConcept,argument0483,duty0286
Gobierno,LegalEntity,argument0042,duty0287
trabajadores,LegalAgent,argument0933,duty0288
impugnación,LegalConcept,argument0519,duty0289
secciones sindicales,LegalConcept,argument0886,duty0290
Gobierno,LegalEntity,argument0042,duty0291
trabajador,LegalAgent,argument0925,duty0292
trabajador,LegalAgent,argument0925,duty0293
trabajador,LegalAgent,argument0925,duty0294
trabajador,LegalAgent,argument0925,duty0295
existencia de fuerza mayor,LegalConcept,argument0487,duty0298
El Fondo,LegalEntity,argument0014,duty0299
dichos trabajadores,LegalAgent,argument0386,duty0300
deberá,LegalConcept,argument0336,duty0301
El plazo,LegalConcept,argument0029,duty0302
plan,LegalConcept,argument0759,duty0303
pacto,LegalConcept,argument0718,duty0304
empresario,LegalAgent,argument0449,duty0305
empresario,LegalAgent,argument0449,duty0306
dirección de la empresa,LegalEntity,argument0388,duty0307
dirección de la empresa,LegalEntity,argument0388,duty0308
La adopción del acuerdo de extinción al amparo de lo prevenido en el artículo anterior,LegalConcept,argument0046,duty0309
empresario,LegalAgent,argument0449,duty0310
contrato,LegalConcept,argument0283,duty0311
consulta,LegalConcept,argument0271,duty0312
cargas fiscales y de Seguridad Social,LegalConcept,argument0196,duty0313
materias,LegalConcept,argument0627,duty0314
dirección empresarial,LegalEntity,argument0390,duty0315
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0316
miembros del comité de empresa y los delegados de personal,LegalEntity,argument0649,duty0317
se,LegalConcept,argument0885,duty0318
los contratos,LegalEntity,argument0609,duty0319
el empresario,LegalAgent,argument0428,duty0320
el empresario,LegalAgent,argument0428,duty0321
tiempo de trabajo,LegalConcept,argument0922,duty0322
traslado,LegalConcept,argument0959,duty0323
traslado,LegalConcept,argument0959,duty0324
traslado,LegalConcept,argument0959,duty0325
quienes,LegalAgent,argument0805,duty0326
quienes,LegalAgent,argument0805,duty0327
empresario,LegalAgent,argument0449,duty0328
empresario,LegalAgent,argument0449,duty0329
jefe del grupo,LegalAgent,argument0551,duty0330
cualquiera de las partes,LegalAgent,argument0327,duty0331
empresa,LegalAgent,argument0445,duty0332
empresa,LegalAgent,argument0445,duty0333
Comisión Consultiva Nacional de Convenios Colectivos,LegalEntity,argument0005,duty0334
plazo,LegalConcept,argument0761,duty0335
discrepancias,LegalConcept,argument0392,duty0336
discrepancias,LegalConcept,argument0392,duty0337
autoridad laboral,LegalEntity,argument0177,duty0338
"miembros del comité de empresa y este en su conjunto, así como, en su caso, los expertos que les asistan",LegalEntity,argument0648,duty0339
traslado,LegalConcept,argument0959,duty0340
número de miembros,LegalConcept,argument0685,duty0341
derecho o condición de trabajo,LegalConcept,argument0363,duty0342
litigios,LegalConcept,argument0604,duty0343
litigios,LegalConcept,argument0604,duty0344
litigios,LegalConcept,argument0604,duty0345
litigios,LegalConcept,argument0604,duty0346
contrato de trabajo,LegalConcept,argument0286,duty0347
suspensión de estas diez semanas,LegalConcept,argument0911,duty0351
suspensión de estas diez semanas,LegalConcept,argument0911,duty0352
suspensión de estas diez semanas,LegalConcept,argument0911,duty0353
suspensión de estas diez semanas,LegalConcept,argument0911,duty0354
suspensión del contrato,LegalConcept,argument0913,duty0355
empresarios,LegalAgent,argument0455,duty0356
negociación colectiva,LegalConcept,argument0668,duty0357
partes,LegalAgent,argument0728,duty0358
oficina pública,LegalEntity,argument0700,duty0359
oficina pública,LegalEntity,argument0700,duty0360
adaptaciones,LegalConcept,argument0143,duty0361
recibo de salarios,LegalConcept,argument0814,duty0362
escrito,LegalConcept,argument0472,duty0363
impugnaciones en materia electoral,LegalConcept,argument0518,duty0364
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0365
El contrato a tiempo parcial,LegalConcept,argument0023,duty0366
el periodo de consultas,LegalConcept,argument0432,duty0367
despido,LegalConcept,argument0374,duty0368
empresario y el comité de empresa,LegalEntity,argument0452,duty0369
La comisión negociadora,LegalEntity,argument0049,duty0370
las comunidades autónomas,LegalEntity,argument0578,duty0371
delegados de prevención,LegalAgent,argument0351,duty0372
exigencias,LegalConcept,argument0486,duty0373
escrito,LegalConcept,argument0472,duty0374
escrito,LegalConcept,argument0472,duty0375
libro,LegalConcept,argument0596,duty0376
empresario,LegalAgent,argument0449,duty0377
modificaciones sustanciales,LegalConcept,argument0655,duty0378
modificaciones sustanciales,LegalConcept,argument0655,duty0379
modificaciones sustanciales,LegalConcept,argument0655,duty0380
comunicación de la apertura del periodo de consultas,LegalConcept,argument0246,duty0381
comunicación de la apertura del periodo de consultas,LegalConcept,argument0246,duty0382
despido colectivo,LegalConcept,argument0375,duty0383
despido colectivo,LegalConcept,argument0375,duty0384
empresario,LegalAgent,argument0449,duty0385
opción,LegalConcept,argument0702,duty0386
planteamiento,LegalConcept,argument0760,duty0387
reserva,LegalConcept,argument0856,duty0388
número de miembros,LegalConcept,argument0685,duty0389
decisión,LegalConcept,argument0337,duty0390
acuerdos interprofesionales,LegalConcept,argument0141,duty0391
suspensión del contrato,LegalConcept,argument0913,duty0392
trabajador,LegalAgent,argument0925,duty0393
nacimiento,LegalConcept,argument0664,duty0394
empresario,LegalAgent,argument0449,duty0395
Gobierno,LegalEntity,argument0042,duty0396
comité de empresa,LegalEntity,argument0231,duty0397
mesa,LegalEntity,argument0642,duty0398
derechos y obligaciones del trabajador,LegalConcept,argument0370,duty0399
comité de empresa,LegalEntity,argument0231,duty0400
aplicación,LegalConcept,argument0156,duty0401
aplicación,LegalConcept,argument0156,duty0402
empresario,LegalAgent,argument0449,duty0403
comités,LegalConcept,argument0233,duty0404
convenio,LegalConcept,argument0301,duty0405
mesa electoral,LegalEntity,argument0643,duty0406
empresa,LegalAgent,argument0445,duty0407
empresa,LegalAgent,argument0445,duty0408
empresa,LegalAgent,argument0445,duty0409
empresa,LegalAgent,argument0445,duty0410
árbitros,LegalAgent,argument0999,duty0411
proclamación,LegalConcept,argument0784,duty0412
delegados de personal,LegalAgent,argument0348,duty0413
empresa,LegalAgent,argument0445,duty0414
empresa,LegalEntity,argument0445,duty0415
permiso,LegalConcept,argument0746,duty0416
promotores,LegalAgent,argument0789,duty0417
promotores,LegalAgent,argument0789,duty0418
promotores,LegalAgent,argument0789,duty0419
promotores,LegalAgent,argument0789,duty0420
promotores,LegalAgent,argument0789,duty0421
promotores,LegalAgent,argument0789,duty0422
promotores,LegalAgent,argument0789,duty0423
promotores,LegalAgent,argument0789,duty0424
"representación de los trabajadores, o de los empresarios",LegalEntity,argument0845,duty0425
"representación de los trabajadores, o de los empresarios",LegalEntity,argument0845,duty0426
"representación de los trabajadores, o de los empresarios",LegalEntity,argument0845,duty0427
"representación de los trabajadores, o de los empresarios",LegalEntity,argument0845,duty0428
"representación de los trabajadores, o de los empresarios",LegalEntity,argument0845,duty0429
"representación de los trabajadores, o de los empresarios",LegalEntity,argument0845,duty0430
El cedente o el cesionario,LegalAgent,argument0021,duty0431
esta oficina pública,LegalEntity,argument0475,duty0432
El comité de empresa,LegalEntity,argument0022,duty0433
dicha acomodación,LegalConcept,argument0380,duty0434
contratados,LegalAgent,argument0278,duty0435
horas complementarias,LegalConcept,argument0512,duty0436
el salario,LegalConcept,argument0435,duty0437
unos y otros,LegalConcept,argument0983,duty0438
empresario,LegalAgent,argument0449,duty0439
periodo de suspensión,LegalConcept,argument0741,duty0440
autoridad laboral,LegalEntity,argument0177,duty0441
situaciones,LegalConcept,argument0897,duty0442
empresario,LegalAgent,argument0449,duty0443
autoridad laboral,LegalEntity,argument0177,duty0444
juez,LegalAgent,argument0558,duty0445
contrato a tiempo parcial,LegalConcept,argument0284,duty0446
empresa,LegalAgent,argument0445,duty0447
trabajadores y empresarios,LegalEntity,argument0948,duty0448
mesas electorales,LegalEntity,argument0644,duty0449
progenitor,LegalAgent,argument0786,duty0450
mesa,LegalEntity,argument0642,duty0451
relación laboral,LegalConcept,argument0839,duty0452
El Servicio Público de Empleo,LegalEntity,argument0017,duty0453
contrato,LegalConcept,argument0283,duty0454
requerimiento,LegalConcept,argument0854,duty0455
requerimiento,LegalConcept,argument0854,duty0456
contrato de relevo,LegalConcept,argument0285,duty0457
contrato de relevo,LegalConcept,argument0285,duty0458
consulta,LegalConcept,argument0271,duty0459
miembros del comité o delegado de personal,LegalAgent,argument0650,duty0460
despido,LegalConcept,argument0374,duty0461
partes negociadoras,LegalEntity,argument0730,duty0462
reparto de los miembros de la comisión negociadora,LegalConcept,argument0841,duty0463
lista,LegalConcept,argument0600,duty0466
negociación colectiva,LegalConcept,argument0668,duty0467
contrato,LegalConcept,argument0283,duty0468
aquella,LegalAgent,argument0159,duty0469
compensación,LegalConcept,argument0238,duty0470
mesa electoral,LegalEntity,argument0643,duty0471
quien,LegalAgent,argument0804,duty0472
trabajador y el empresario,LegalAgent,argument0931,duty0473
empresario,LegalAgent,argument0449,duty0474
trabajadores,LegalAgent,argument0933,duty0475
cedente y el cesionario,LegalEntity,argument0208,duty0476
trabajadores,LegalAgent,argument0933,duty0477
trabajador,LegalAgent,argument0925,duty0478
empresa,LegalAgent,argument0445,duty0479
representación de los trabajadores,LegalConcept,argument0844,duty0480
convenios colectivos,LegalConcept,argument0306,duty0481
resultado del escrutinio,LegalConcept,argument0865,duty0482
resultado del escrutinio,LegalConcept,argument0865,duty0483
resultado del escrutinio,LegalConcept,argument0865,duty0484
resultado del escrutinio,LegalConcept,argument0865,duty0485
candidatos,LegalAgent,argument0192,duty0486
candidatos,LegalAgent,argument0192,duty0487
candidatos,LegalAgent,argument0192,duty0488
candidatos,LegalAgent,argument0192,duty0489
contrato de trabajo,LegalConcept,argument0286,duty0490
contrato de trabajo,LegalConcept,argument0286,duty0491
funcionamiento y las decisiones de la Comisión Consultiva Nacional de Convenios Colectivos,LegalConcept,argument0505,duty0492
funcionamiento y las decisiones de la Comisión Consultiva Nacional de Convenios Colectivos,LegalConcept,argument0505,duty0493
funcionamiento y las decisiones de la Comisión Consultiva Nacional de Convenios Colectivos,LegalConcept,argument0505,duty0494
funcionamiento y las decisiones de la Comisión Consultiva Nacional de Convenios Colectivos,LegalConcept,argument0505,duty0495
funcionamiento y las decisiones de la Comisión Consultiva Nacional de Convenios Colectivos,LegalConcept,argument0505,duty0496
cedente y el cesionario,LegalAgent,argument0208,duty0497
informe,LegalConcept,argument0534,duty0498
trabajadores,LegalAgent,argument0933,duty0499
parte del contrato,LegalConcept,argument0726,duty0500
empresario,LegalAgent,argument0449,duty0501
distribución,LegalConcept,argument0406,duty0502
dirección de la empresa,LegalEntity,argument0388,duty0503
acuerdos de la comisión,LegalConcept,argument0140,duty0504
contrataciones,LegalConcept,argument0276,duty0505
empresario,LegalAgent,argument0449,duty0506
empresario,LegalAgent,argument0449,duty0507
contrato,LegalConcept,argument0283,duty0508
contrato,LegalConcept,argument0283,duty0509
contrato,LegalConcept,argument0283,duty0510
duración,LegalConcept,argument0410,duty0511
duración,LegalConcept,argument0410,duty0512
decisión,LegalConcept,argument0337,duty0513
decisión,LegalConcept,argument0337,duty0514
procedimiento,LegalConcept,argument0776,duty0515
trabajador,LegalAgent,argument0925,duty0516
órganos,LegalEntity,argument1002,duty0517
empresa,LegalAgent,argument0445,duty0518
comisión representativa,LegalConcept,argument0228,duty0519
empresario,LegalAgent,argument0449,duty0520
convenios colectivos,LegalConcept,argument0306,duty0521
dirección empresarial,LegalEntity,argument0390,duty0522
trabajadores,LegalAgent,argument0933,duty0523
comunicación,LegalConcept,argument0245,duty0524
regulación,LegalConcept,argument0831,duty0525
regulación,LegalConcept,argument0831,duty0526
contratos,LegalConcept,argument0290,duty0527
empresario,LegalAgent,argument0449,duty0528
empresario,LegalAgent,argument0449,duty0529
plazo,LegalConcept,argument0761,duty0530
trabajador,LegalAgent,argument0925,duty0531
empresario,LegalAgent,argument0449,duty0532
empresario,LegalAgent,argument0449,duty0533
empresario,LegalAgent,argument0449,duty0534
número de miembros del comité de empresa,LegalConcept,argument0686,duty0535
relaciones laborales de los trabajadores afectados por la sucesión,LegalConcept,argument0837,duty0536
promoción,LegalConcept,argument0788,duty0537
El Fondo,LegalEntity,argument0014,duty0538
El acto de la votación,LegalConcept,argument0018,duty0539
La Comisión Consultiva Nacional de Convenios Colectivos,LegalEntity,argument0045,duty0540
el empresario,LegalAgent,argument0428,duty0541
acuerdo,LegalConcept,argument0135,duty0542
acuerdo,LegalConcept,argument0135,duty0543
convenio,LegalConcept,argument0301,duty0544
mesa electoral,LegalEntity,argument0643,duty0545
indemnización,LegalConcept,argument0529,duty0546
cambio de funciones,LegalConcept,argument0188,duty0547
progenitor,LegalAgent,argument0786,duty0548
trabajo nocturno,LegalConcept,argument0954,duty0549
trabajadores nocturnos y quienes trabajen a turnos,LegalAgent,argument0947,duty0550
contrato de trabajo,LegalConcept,argument0286,duty0551
empresario,LegalAgent,argument0449,duty0552
cambio de puesto de trabajo,LegalConcept,argument0189,duty0553
comité de empresa,LegalEntity,argument0231,duty0554
artículo 56.5,LegalConcept,argument0163,duty0556
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0557
Gobierno,LegalEntity,argument0042,duty0558
periodo de descanso,LegalConcept,argument0738,duty0559
jornada de los trabajadores a tiempo parcial,LegalConcept,argument0554,duty0560
comisión representativa de los trabajadores,LegalEntity,argument0229,duty0561
concreción del modo de disfrute del permiso,LegalConcept,argument0255,duty0562
consulta,LegalConcept,argument0271,duty0563
copia básica,LegalConcept,argument0313,duty0564
censo de electores y elegibles,LegalConcept,argument0209,duty0565
trabajadores,LegalAgent,argument0933,duty0566
empresario,LegalAgent,argument0449,duty0567
empresario,LegalAgent,argument0449,duty0568
autoridad laboral,LegalEntity,argument0177,duty0569
