event_trigger,event_trigger_id,relation_id
regirá,trigger0498,duty0092
se fijará,trigger0562,duty0093
se regirá,trigger0593,duty0094
se entiende,trigger0557,duty0095
podrá concertarse,trigger0367,duty0096
deberán informar,trigger0163,duty0097
deberá conservar,trigger0116,duty0098
deberá conservar,trigger0116,duty0099
exonera de,trigger0249,duty0100
se constituirán,trigger0536,duty0101
dará traslado,trigger0106,duty0102
tenga,trigger0691,duty0103
podrá impugnar,trigger0386,duty0104
declarará,trigger0178,duty0105
declarará,trigger0178,duty0106
declarará,trigger0178,duty0107
declarará,trigger0178,duty0108
declarará,trigger0178,duty0109
declarará,trigger0178,duty0110
declarará,trigger0178,duty0111
declarará,trigger0178,duty0112
declarará,trigger0178,duty0113
declarará,trigger0178,duty0114
declarará,trigger0178,duty0115
declarará,trigger0178,duty0116
declarará,trigger0178,duty0117
declarará,trigger0178,duty0118
paralizará,trigger0349,duty0119
dictará,trigger0189,duty0120
dictará,trigger0189,duty0121
dictará,trigger0189,duty0122
dictará,trigger0189,duty0123
dictará,trigger0189,duty0124
requerirá,trigger0501,duty0125
requerirá,trigger0501,duty0126
requerirá,trigger0501,duty0127
pondrá,trigger0448,duty0128
abonará,trigger0033,duty0129
corresponderá,trigger0097,duty0130
se consignarán,trigger0534,duty0131
prescribirá,trigger0450,duty0132
Adquirirán,trigger0000,duty0133
tienen,trigger0695,duty0134
deberá figurar,trigger0124,duty0135
deberá facilitar,trigger0122,duty0136
deberá presentarse,trigger0137,duty0137
se ajustará,trigger0516,duty0138
Disponer,trigger0005,duty0139
deberá comunicar,trigger0113,duty0140
establecer,trigger0214,duty0141
establecer,trigger0214,duty0142
establecer,trigger0214,duty0143
establecer,trigger0214,duty0144
establecer,trigger0214,duty0145
dar,trigger0101,duty0146
ejerza,trigger0198,duty0147
ejerza,trigger0198,duty0148
ejerza,trigger0198,duty0149
ejerza,trigger0198,duty0150
ejerza,trigger0198,duty0151
ejerza,trigger0198,duty0152
hará constar,trigger0278,duty0153
se harán,trigger0567,duty0154
se considerará,trigger0530,duty0155
deberán quedar compensadas,trigger0166,duty0156
deberán ser presentados,trigger0174,duty0157
deberá permitir,trigger0135,duty0158
resolverá,trigger0504,duty0159
será de aplicación,trigger0614,duty0160
realizará,trigger0490,duty0161
conservará,trigger0072,duty0162
dicta,trigger0188,duty0163
obligan a,trigger0337,duty0164
deberá disponer,trigger0119,duty0165
estará obligado a proporcionar,trigger0225,duty0166
aplicarán,trigger0046,duty0167
deberá facilitarse,trigger0123,duty0168
prescribirán,trigger0451,duty0169
deberá informar,trigger0128,duty0170
convocará,trigger0094,duty0171
deberán informar,trigger0163,duty0172
deberá ir precedido,trigger0132,duty0173
desempeñada,trigger0183,duty0174
deberá establecer,trigger0120,duty0175
elegirán,trigger0202,duty0176
ajustarán,trigger0045,duty0177
estará obligado a realizar,trigger0226,duty0178
estará obligado a realizar,trigger0226,duty0179
estará obligado a realizar,trigger0226,duty0180
dará traslado,trigger0106,duty0181
dará traslado,trigger0106,duty0182
deberán consignar,trigger0154,duty0183
deberá informar,trigger0128,duty0184
pondrá a disposición,trigger0449,duty0185
solicitar,trigger0640,duty0186
presentarse,trigger0453,duty0187
establecerán medidas,trigger0217,duty0188
se determinará,trigger0543,duty0189
se subrogará,trigger0603,duty0190
será,trigger0610,duty0191
prestará,trigger0455,duty0192
se regirán,trigger0595,duty0193
Se considerarán incumplimientos contractuales,trigger0019,duty0194
comunicará,trigger0066,duty0195
podrán ser sancionados,trigger0443,duty0196
deberán ser informados,trigger0172,duty0197
deberán ser informados,trigger0172,duty0198
deberán ser informados,trigger0172,duty0199
deberán ser informados,trigger0172,duty0200
deberán ser informados,trigger0172,duty0201
deberán ser informados,trigger0172,duty0202
deberán ser informados,trigger0172,duty0203
deberán ser informados,trigger0172,duty0204
será exigible,trigger0617,duty0205
se regirá,trigger0593,duty0206
Resultará de aplicación,trigger0013,duty0207
se aplicará,trigger0518,duty0208
cumplirá,trigger0100,duty0209
establecerá,trigger0216,duty0210
establecerá,trigger0216,duty0211
establecerá,trigger0216,duty0212
vendrá obligado,trigger0709,duty0213
vendrá obligado,trigger0709,duty0214
responderá solidariamente,trigger0508,duty0215
deberá reincorporarse,trigger0141,duty0216
deberá acompañarse,trigger0111,duty0217
tendrá por objeto,trigger0670,duty0218
estará integrada,trigger0221,duty0219
organice,trigger0343,duty0220
abrirá,trigger0034,duty0221
adaptarán,trigger0038,duty0222
afecte,trigger0042,duty0223
debe,trigger0109,duty0224
está obligado a seguir,trigger0242,duty0225
está obligado a seguir,trigger0242,duty0226
constituirá,trigger0082,duty0227
obligados a realizar,trigger0336,duty0228
comunicar,trigger0064,duty0229
corresponderá,trigger0097,duty0230
deberán ser compensadas,trigger0171,duty0231
se prorrogarán,trigger0590,duty0232
se regulan,trigger0598,duty0233
podrá impugnarla,trigger0387,duty0234
ajustará a criterios y sistemas,trigger0044,duty0235
Colaborar,trigger0001,duty0236
suspenderse,trigger0649,duty0237
consignarán,trigger0079,duty0238
tendrán,trigger0676,duty0239
deberán facilitar,trigger0160,duty0240
será,trigger0610,duty0241
asignará,trigger0049,duty0242
facilitará,trigger0255,duty0243
existirá la obligación de abonar,trigger0248,duty0244
existirá la obligación de abonar,trigger0248,duty0245
existirá la obligación de abonar,trigger0248,duty0246
existirá la obligación de abonar,trigger0248,duty0247
existirá la obligación de abonar,trigger0248,duty0248
existirá la obligación de abonar,trigger0248,duty0249
existirá la obligación de abonar,trigger0248,duty0250
deberán ser tomadas en consideración,trigger0176,duty0251
se determinará,trigger0543,duty0252
deberá garantizar,trigger0126,duty0253
Continuarán siendo de aplicación,trigger0003,duty0254
tendrán prioridad de permanencia,trigger0688,duty0255
ha sido informado,trigger0267,duty0256
dictará,trigger0189,duty0257
se dará copia a,trigger0539,duty0258
podrán establecer,trigger0431,duty0259
estará obligado a comunicar,trigger0224,duty0260
deberá ir acompañada,trigger0130,duty0261
deberá ir acompañada,trigger0130,duty0262
deberá ir acompañada,trigger0130,duty0263
deberá ir acompañada,trigger0130,duty0264
tendrán,trigger0676,duty0265
tendrán,trigger0676,duty0266
deberá alcanzar,trigger0112,duty0267
respetarán,trigger0507,duty0268
deberá ser notificada,trigger0147,duty0269
Continuarán siendo,trigger0002,duty0270
tendrá una duración,trigger0674,duty0271
tendrá una duración,trigger0674,duty0272
tendrá una duración,trigger0674,duty0273
se realizará,trigger0592,duty0274
tendrá,trigger0651,duty0275
elegirán,trigger0202,duty0276
se podrán ejercitar,trigger0584,duty0277
deberán abstenerse,trigger0151,duty0278
tendrán,trigger0676,duty0279
tendrán,trigger0676,duty0280
tendrán derecho a percibir,trigger0683,duty0281
procederá,trigger0459,duty0282
será,trigger0610,duty0283
se regirá,trigger0593,duty0284
se regirá,trigger0593,duty0285
constituye,trigger0083,duty0286
fijará,trigger0257,duty0287
tendrán derecho,trigger0677,duty0288
tramitará,trigger0703,duty0289
estarán legitimadas,trigger0229,duty0290
fijará,trigger0257,duty0291
pueda acceder,trigger0473,duty0292
pueda acceder,trigger0473,duty0293
pueda acceder,trigger0473,duty0294
pueda acceder,trigger0473,duty0295
exige,trigger0245,duty0296
exige,trigger0245,duty0297
deberá ser constatada,trigger0144,duty0298
asumirá,trigger0050,duty0299
deberán estar adscritos,trigger0159,duty0300
establecerse,trigger0215,duty0301
es,trigger0213,duty0302
deberá incluir,trigger0127,duty0303
se formalizará,trigger0564,duty0304
notificará,trigger0332,duty0305
notificará,trigger0332,duty0306
comunicar,trigger0064,duty0307
comunicar,trigger0064,duty0308
exige,trigger0245,duty0309
dará cuenta,trigger0103,duty0310
se concertará,trigger0527,duty0311
deberá versar,trigger0150,duty0312
serán satisfechas,trigger0636,duty0313
se considerarán,trigger0533,duty0314
podrá limitar,trigger0390,duty0315
dispensará,trigger0192,duty0316
tendrán,trigger0676,duty0317
establecerá,trigger0216,duty0318
podrán tener,trigger0447,duty0319
será,trigger0610,duty0320
será,trigger0610,duty0321
se computará,trigger0523,duty0322
deberá ir precedido,trigger0132,duty0323
deberá ir precedido,trigger0132,duty0324
deberá ir precedido,trigger0132,duty0325
Tendrán capacidad para iniciar,trigger0028,duty0326
Tendrán capacidad para iniciar,trigger0028,duty0327
deberá facilitar,trigger0122,duty0328
deberá facilitar,trigger0122,duty0329
ostentará,trigger0345,duty0330
podrá someter,trigger0414,duty0331
deberá dar traslado,trigger0117,duty0332
estará obligada a comunicar,trigger0222,duty0333
será reforzada,trigger0622,duty0334
será,trigger0610,duty0335
serán resueltas,trigger0635,duty0336
serán resueltas,trigger0635,duty0337
velará por,trigger0708,duty0338
deberán observar,trigger0165,duty0339
deberá ir precedido,trigger0132,duty0340
se determinará,trigger0543,duty0341
esté atribuido,trigger0243,duty0342
tramitarán,trigger0704,duty0343
tramitarán,trigger0704,duty0344
tramitarán,trigger0704,duty0345
tramitarán,trigger0704,duty0346
podrá suspenderse,trigger0418,duty0347
considerarán,trigger0078,duty0348
considerarán,trigger0078,duty0349
considerarán,trigger0078,duty0350
se podrá ejercitar,trigger0577,duty0351
se podrá ejercitar,trigger0577,duty0352
se podrá ejercitar,trigger0577,duty0353
se podrá ejercitar,trigger0577,duty0354
tendrá,trigger0651,duty0355
deberán comprobar,trigger0153,duty0356
articulará,trigger0048,duty0357
notificarán,trigger0333,duty0358
dará traslado,trigger0106,duty0359
dará traslado,trigger0106,duty0360
deberán ser,trigger0170,duty0361
ajustará,trigger0043,duty0362
consignarán,trigger0079,duty0363
tramitarán,trigger0704,duty0364
abonará,trigger0033,duty0365
regirá,trigger0498,duty0366
finalice,trigger0259,duty0367
se efectuará,trigger0547,duty0368
actuarán,trigger0037,duty0369
quedará válidamente constituida,trigger0482,duty0370
deberán remitir,trigger0168,duty0371
requerirán,trigger0502,duty0372
deberán ser tenidas,trigger0175,duty0373
se consignarán,trigger0534,duty0374
se consignarán,trigger0534,duty0375
estará a disposición,trigger0219,duty0376
trasladará,trigger0706,duty0377
afectar,trigger0041,duty0378
afectar,trigger0041,duty0379
afectar,trigger0041,duty0380
realizará,trigger0490,duty0381
realizará,trigger0490,duty0382
deberá ir precedido,trigger0132,duty0383
deberá ir precedido,trigger0132,duty0384
estará obligado a celebrar,trigger0223,duty0385
determinará,trigger0187,duty0386
interrumpirá,trigger0286,duty0387
quedará referida,trigger0480,duty0388
se determinará,trigger0543,duty0389
deberá ir precedida,trigger0131,duty0390
deberán especificar,trigger0158,duty0391
finalizará,trigger0260,duty0392
continuará desempeñando,trigger0088,duty0393
suspenderá,trigger0650,duty0394
deberá facilitar,trigger0122,duty0395
recogerá,trigger0495,duty0396
Colaborar,trigger0001,duty0397
determinará,trigger0187,duty0398
serán,trigger0624,duty0399
se determinará,trigger0543,duty0400
se mantendrá,trigger0574,duty0401
se mantendrá,trigger0574,duty0402
está obligado a llevar,trigger0239,duty0403
deberán reunirse,trigger0169,duty0404
será remitido,trigger0623,duty0405
procederá,trigger0459,duty0406
comunicará,trigger0066,duty0407
comunicará,trigger0066,duty0408
comunicará,trigger0066,duty0409
conservará,trigger0072,duty0410
"deberán abstenerse y, en su defecto, ser recusados",trigger0152,duty0411
se hará,trigger0565,duty0412
ejercerán,trigger0196,duty0413
iniciará,trigger0284,duty0414
podrá limitar,trigger0390,duty0415
constar,trigger0080,duty0416
deberán identificar,trigger0162,duty0417
deberán identificar,trigger0162,duty0418
deberán identificar,trigger0162,duty0419
deberán identificar,trigger0162,duty0420
deberán identificar,trigger0162,duty0421
deberán identificar,trigger0162,duty0422
deberán identificar,trigger0162,duty0423
deberán identificar,trigger0162,duty0424
comunicará,trigger0066,duty0425
comunicará,trigger0066,duty0426
comunicará,trigger0066,duty0427
comunicará,trigger0066,duty0428
comunicará,trigger0066,duty0429
comunicará,trigger0066,duty0430
vendrá obligado a iniciar,trigger0710,duty0431
procederá al registro,trigger0461,duty0432
tendrá,trigger0651,duty0433
deberá realizarse,trigger0139,duty0434
se computarán,trigger0524,duty0435
se consideran,trigger0529,duty0436
será,trigger0610,duty0437
se abonarán,trigger0514,duty0438
deberá facilitar,trigger0122,duty0439
se ampliará,trigger0517,duty0440
se dispondrá,trigger0545,duty0441
interrumpen,trigger0285,duty0442
entregará,trigger0210,duty0443
establecerá,trigger0216,duty0444
citara,trigger0060,duty0445
podrá concertarse,trigger0367,duty0446
deberá informar,trigger0128,duty0447
regulan,trigger0499,duty0448
extenderán,trigger0252,duty0449
disfrutará,trigger0191,duty0450
habrán de transcurrir,trigger0274,duty0451
extinguirá,trigger0254,duty0452
emitirá,trigger0203,duty0453
se deberá formalizar,trigger0540,duty0454
será comunicado,trigger0613,duty0455
será comunicado,trigger0613,duty0456
se ajustará,trigger0516,duty0457
se ajustará,trigger0516,duty0458
se llevará a cabo,trigger0573,duty0459
Disponer,trigger0005,duty0460
deberá ser notificado,trigger0148,duty0461
establecer,trigger0214,duty0462
efectuará,trigger0195,duty0463
atribuirán,trigger0052,duty0464
impugnar,trigger0281,duty0465
figurar,trigger0256,duty0466
fijarán,trigger0258,duty0467
prorrogará,trigger0470,duty0468
se cubrirá,trigger0537,duty0469
comprenderá,trigger0063,duty0470
se constituirá,trigger0535,duty0471
Tendrá,trigger0025,duty0472
se someterán,trigger0602,duty0473
dar audiencia previa,trigger0102,duty0474
ocupan,trigger0339,duty0475
deberán informar,trigger0163,duty0476
adquirirán,trigger0040,duty0477
se asignará,trigger0521,duty0478
se podrá proceder,trigger0580,duty0479
corresponde,trigger0096,duty0480
habrán de expresar,trigger0271,duty0481
levantará,trigger0292,duty0482
levantará,trigger0292,duty0483
levantará,trigger0292,duty0484
levantará,trigger0292,duty0485
presentar,trigger0452,duty0486
presentar,trigger0452,duty0487
presentar,trigger0452,duty0488
presentar,trigger0452,duty0489
suspenderse,trigger0649,duty0490
suspenderse,trigger0649,duty0491
entenderán,trigger0207,duty0492
entenderán,trigger0207,duty0493
entenderán,trigger0207,duty0494
entenderán,trigger0207,duty0495
entenderán,trigger0207,duty0496
deberán informar,trigger0163,duty0497
deberá ser evacuado,trigger0145,duty0498
elegirán,trigger0202,duty0499
está obligada a notificar,trigger0236,duty0500
deberá informar,trigger0128,duty0501
deberá respetar,trigger0142,duty0502
deberá comunicar,trigger0113,duty0503
requerirán,trigger0502,duty0504
se regirán por,trigger0596,duty0505
entregará,trigger0210,duty0506
entregará,trigger0210,duty0507
considerará prorrogado,trigger0076,duty0508
considerará prorrogado,trigger0076,duty0509
considerará prorrogado,trigger0076,duty0510
será,trigger0610,duty0511
será,trigger0610,duty0512
tendrá,trigger0651,duty0513
tendrá,trigger0651,duty0514
se iniciará,trigger0571,duty0515
deberá recibir,trigger0140,duty0516
habrá de dictarse,trigger0270,duty0517
deberá informar,trigger0128,duty0518
estará integrada,trigger0221,duty0519
podrá dejar de hacerlo,trigger0369,duty0520
podrán establecer,trigger0431,duty0521
podrá limitar,trigger0390,duty0522
tienen como deberes básicos,trigger0696,duty0523
enviará,trigger0211,duty0524
hará,trigger0277,duty0525
hará,trigger0277,duty0526
continuarán rigiéndose,trigger0090,duty0527
facilitará,trigger0255,duty0528
comunicará,trigger0066,duty0529
era,trigger0212,duty0530
conserva,trigger0070,duty0531
deberá informar,trigger0128,duty0532
deberá informar,trigger0128,duty0533
deberá informar,trigger0128,duty0534
se determinará,trigger0543,duty0535
seguirán rigiéndose,trigger0607,duty0536
podrá efectuarse,trigger0376,duty0537
se tendrán en cuenta,trigger0605,duty0538
se efectuará,trigger0547,duty0539
tendrá,trigger0651,duty0540
deberá ofrecer,trigger0134,duty0541
será comunicado,trigger0613,duty0542
será comunicado,trigger0613,duty0543
deroga,trigger0180,duty0544
cumplirá,trigger0100,duty0545
calculará,trigger0058,duty0546
requerirá,trigger0501,duty0547
dispondrá,trigger0193,duty0548
tendrá,trigger0651,duty0549
deberán gozar,trigger0161,duty0550
podrá suspenderse,trigger0418,duty0551
está obligado a comunicar,trigger0237,duty0552
se llevará a cabo,trigger0573,duty0553
tendrá,trigger0651,duty0554
designarán,trigger0184,duty0555
será de aplicación,trigger0614,duty0556
solicitará,trigger0642,duty0557
se fijará,trigger0562,duty0558
tendrá,trigger0651,duty0559
se registrará,trigger0597,duty0560
deberá quedar constituida,trigger0138,duty0561
se fijará,trigger0562,duty0562
deberá realizarse,trigger0139,duty0563
contendrá,trigger0087,duty0564
se distribuirá,trigger0546,duty0565
adquirirán,trigger0040,duty0566
deberá informar,trigger0128,duty0567
deberá incluir,trigger0127,duty0568
verificará,trigger0711,duty0569
fijará,trigger0257,duty0570
deberá determinar,trigger0118,duty0571
deberá determinar,trigger0118,duty0572
serán con cargo,trigger0626,duty0573
se entenderá por,trigger0553,duty0574
deberán ser notificadas,trigger0173,duty0575
dará traslado,trigger0106,duty0576
dará traslado,trigger0106,duty0577
dará traslado,trigger0106,duty0578
personará,trigger0354,duty0579
comunicarse,trigger0065,duty0580
comunicarse,trigger0065,duty0581
publicará,trigger0471,duty0582
realizasen,trigger0491,duty0583
resolverán,trigger0505,duty0584
impugnarse,trigger0282,duty0585
prorrogar,trigger0469,duty0586
deberá acompañar,trigger0110,duty0587
entenderá válidamente constituida,trigger0206,duty0588
guardará,trigger0266,duty0589
han de formalizarse,trigger0276,duty0590
procederá a constituir,trigger0460,duty0591
tendrá,trigger0651,duty0592
remitirá,trigger0500,duty0593
estarán representados,trigger0234,duty0594
se respetarán,trigger0601,duty0595
se considerará,trigger0530,duty0596
corresponderán,trigger0098,duty0597
considerarán,trigger0078,duty0598
velará,trigger0707,duty0599
cumplirá,trigger0100,duty0600
deberán abstenerse,trigger0151,duty0601
habrán de proporcionar,trigger0273,duty0602
podrá efectuarse,trigger0376,duty0603
podrá suspenderse,trigger0418,duty0604
Se excluyen,trigger0020,duty0605
Se excluyen,trigger0020,duty0606
Se excluyen,trigger0020,duty0607
podrá suspenderse,trigger0418,duty0608
se regirá,trigger0593,duty0609
se regirá,trigger0593,duty0610
se regirá,trigger0593,duty0611
cumplirá,trigger0100,duty0612
habrán de notificar,trigger0272,duty0613
calculará,trigger0058,duty0614
fijará,trigger0257,duty0615
atribuirá,trigger0051,duty0616
deberá ser notificado,trigger0148,duty0617
deberán informar,trigger0163,duty0618
paralizará,trigger0349,duty0619
corresponderá,trigger0097,duty0620
nombrar,trigger0331,duty0621
corresponderá,trigger0097,duty0622
Se considerarán,trigger0018,duty0623
tendrán que elaborarse,trigger0689,duty0624
abonar,trigger0032,duty0625
dará traslado,trigger0106,duty0626
se regirá,trigger0593,duty0627
requerirá,trigger0501,duty0628
se ampliará,trigger0517,duty0629
será,trigger0610,duty0630
deberá informar,trigger0128,duty0631
pasar,trigger0350,duty0632
Publicará,trigger0011,duty0633
responderá solidariamente,trigger0508,duty0634
responderá solidariamente,trigger0508,duty0635
se deducirá,trigger0542,duty0636
se constituirá,trigger0535,duty0637
podrá impugnarse,trigger0388,duty0638
podrá suspenderse,trigger0418,duty0639
deberá ser solicitado,trigger0149,duty0640
podrá suspenderse,trigger0418,duty0641
tienen como deberes básicos,trigger0696,duty0642
no podrá exceder de,trigger0312,duty0643
procederá,trigger0459,duty0644
deberá conocer,trigger0115,duty0645
podrá suspenderse,trigger0418,duty0646
se entenderán prorrogados,trigger0556,duty0647
prescribirán,trigger0451,duty0648
deberá comunicar,trigger0113,duty0649
deberá comunicar,trigger0113,duty0650
estará sometido,trigger0227,duty0651
elaborará,trigger0201,duty0652
desarrollarán,trigger0182,duty0653
deberá informar,trigger0128,duty0654
habrán de expresar,trigger0271,duty0655
se pondrá a disposición de,trigger0586,duty0656
desarrollará,trigger0181,duty0657
desarrollará,trigger0181,duty0658
deberá informar,trigger0128,duty0659
tendrá,trigger0651,duty0660
autorizará,trigger0054,duty0661
ajustará,trigger0043,duty0662
tendrán,trigger0676,duty0663
podrá dar lugar,trigger0368,duty0664
requerirá,trigger0501,duty0665
ajustará,trigger0043,duty0666
responderán,trigger0509,duty0667
serán de aplicación,trigger0627,duty0668
se aplicarán,trigger0519,duty0669
podrá limitar,trigger0390,duty0670
se regirán,trigger0595,duty0671
será notificada,trigger0619,duty0672
tienen como deberes básicos,trigger0696,duty0673
se consignarán,trigger0534,duty0674
se consignarán,trigger0534,duty0675
se hará pública,trigger0566,duty0676
será de aplicación,trigger0614,duty0677
será,trigger0610,duty0678
respetará,trigger0506,duty0679
deberá preavisar,trigger0136,duty0680
deberá ser informado,trigger0146,duty0681
serán repartidos,trigger0634,duty0682
se concederá,trigger0526,duty0683
se concederá,trigger0526,duty0684
se concederá,trigger0526,duty0685
está obligado a pagar,trigger0241,duty0686
está obligado a garantizar,trigger0238,duty0687
tienen como deberes básicos,trigger0696,duty0688
conservará,trigger0072,duty0689
deberá versar,trigger0150,duty0690
será escrito y razonado,trigger0616,duty0691
será escrito y razonado,trigger0616,duty0692
observarán,trigger0338,duty0693
constituye,trigger0083,duty0694
podrá suspenderse,trigger0418,duty0695
procederá,trigger0459,duty0696
procederá,trigger0459,duty0697
podrá limitar,trigger0390,duty0698
podrá recibir,trigger0400,duty0699
se incrementará,trigger0569,duty0700
deberán contener,trigger0155,duty0701
deberá quedar constituida,trigger0138,duty0702
se comunicará,trigger0525,duty0703
serán presentadas,trigger0632,duty0704
serán presentadas,trigger0632,duty0705
constituyen,trigger0084,duty0706
pactarán,trigger0348,duty0707
actuará,trigger0036,duty0708
procederá o no al registro,trigger0463,duty0709
se determinará,trigger0543,duty0710
se establecerá,trigger0559,duty0711
requerirá,trigger0501,duty0712
Corresponde,trigger0004,duty0713
podrá distribuirse,trigger0373,duty0714
tendrá,trigger0651,duty0715
ser notificada,trigger0609,duty0716
se regirá,trigger0593,duty0717
será de aplicación,trigger0614,duty0718
se registrará,trigger0597,duty0719
responderán,trigger0509,duty0720
establecer,trigger0214,duty0721
recabarán,trigger0492,duty0722
solicitaran,trigger0641,duty0723
comunicarán,trigger0067,duty0724
comunicarán,trigger0067,duty0725
fijará,trigger0257,duty0726
comunicar,trigger0064,duty0727
tendrá prioridad aplicativa,trigger0671,duty0728
deberán efectuar,trigger0156,duty0729
abonará,trigger0033,duty0730
se consignarán,trigger0534,duty0731
