event_complement,event_complement_id,relation_id
copia del acta,argument0314,duty0359
presentación en dicha oficina pública del acta correspondiente al proceso electoral,argument0770,duty0360
razonables y proporcionadas en relación con las necesidades de la persona trabajadora y con las necesidades organizativas o productivas de la empresa,argument0807,duty0361
medidas oportunas,argument0638,duty0372
periodos de descanso,argument0744,duty0373
en el contrato de trabajo,argument0464,duty0378
en acuerdos o pactos colectivos,argument0462,duty0379
disfrutadas por estos en virtud de una decisión unilateral del empresario de efectos colectivos,argument0393,duty0380
mediante escrito dirigido por el empresario a los representantes legales de los trabajadores,argument0633,duty0381
una copia del cual se hará llegar a la autoridad laboral,argument0976,duty0382
con los representantes legales de los trabajadores de una duración no superior a treinta días naturales,argument0253,duty0383
o de quince en el caso de empresas de menos de cincuenta trabajadores,argument0688,duty0384
plazos de prescripción,argument0765,duty0387
puesto de trabajo,argument0800,duty0388
comité de empresa,argument0231,duty0389
condiciones de trabajo,argument0261,duty0390
competencias,argument0239,duty0397
fecha de expiración,argument0498,duty0401
entrada en vigor,argument0471,duty0402
registro,argument0822,duty0403
recuento de votos,argument0816,duty0406
aceptación de la petición,argument0122,duty0407
propuesta alternativa,argument0791,duty0408
necesidades de conciliación,argument0665,duty0409
registros,argument0827,duty0410
medios de prueba,argument0640,duty0414
disfrute simultáneo de las diez semanas voluntarias,argument0395,duty0415
empresa,argument0445,duty0417
centro de trabajo,argument0211,duty0418
proceso electoral,argument0783,duty0419
fecha de inicio,argument0499,duty0420
mesa electoral,argument0643,duty0421
registro de la comunicación,argument0824,duty0422
oficina pública,argument0700,duty0423
autoridad laboral,argument0177,duty0424
otra parte,argument0710,duty0425
comunicación,argument0245,duty0426
legitimación,argument0592,duty0427
artículos anteriores,argument0166,duty0428
ámbitos del convenio,argument0996,duty0429
materias objeto de negociación,argument0628,duty0430
centro de trabajo,argument0211,duty0439
en la que el trabajador preste sus servicios,argument0467,duty0453
un crédito de horas mensuales retribuidas,argument0970,duty0460
estos plazos,argument0481,duty0477
acta,argument0127,duty0482
modelo normalizado,argument0653,duty0483
incidencias,argument0522,duty0484
protestas,argument0794,duty0485
elecciones de delegados de personal,argument0439,duty0486
miembros del comité de empresa,argument0647,duty0487
sindicatos de trabajadores,argument0893,duty0488
coaliciones,argument0222,duty0489
causas,argument0201,duty0490
consignadas,argument0268,duty0491
atribuciones,argument0174,duty0492
jurisdicción,argument0559,duty0493
autoridad laboral,argument0177,duty0494
términos,argument0965,duty0495
leyes,argument0594,duty0496
copia básica,argument0313,duty0506
contratos,argument0290,duty0507
duración máxima,argument0415,duty0508
obra,argument0696,duty0509
servicio,argument0889,duty0510
jornada ordinaria,argument0556,duty0511
trabajo,argument0949,duty0512
eficacia,argument0419,duty0513
acuerdos,argument0139,duty0514
información,argument0531,duty0518
indemnización,argument0529,duty0520
cláusulas,argument0221,duty0521
copia,argument0312,duty0524
organizaciones sindicales,argument0706,duty0525
asociaciones empresariales,argument0170,duty0526
normativa,argument0675,duty0527
medios,argument0639,duty0528
realización de dicho texto,argument0811,duty0530
derecho preferente al reingreso en las vacantes de igual o similar categoría a la suya que hubiera o se produjeran en la empresa,argument0364,duty0531
trabajadores de la empresa,argument0941,duty0532
puestos de trabajo vacantes,argument0803,duty0533
"solicitudes de conversión voluntaria de un trabajo a tiempo completo en un trabajo a tiempo parcial y viceversa, o para el incremento del tiempo de trabajo de los trabajadores a tiempo parcial",argument0901,duty0534
"convenio colectivo que en el momento de la transmisión fuere de aplicación en la empresa, centro de trabajo o unidad productiva autónoma transferida",argument0304,duty0536
elecciones para renovar la representación por conclusión de la duración del mandato,argument0440,duty0537
un curso dirigido a facilitar la adaptación a las modificaciones operadas,argument0971,duty0541
contratos,argument0290,duty0546
salarios,argument0881,duty0558
Registro salarial,argument0105,duty0568
condiciones de trabajo,argument0261,duty0571
duración,argument0410,duty0572
las cuotas de la Seguridad Social correspondientes a dichos salarios,argument0579,duty0573
a la autoridad laboral,argument0114,duty0575
oficina pública,argument0700,duty0580
autoridad laboral,argument0177,duty0581
tablones de anuncios,argument0917,duty0582
censo laboral,argument0210,duty0593
empresas de trabajo temporal,argument0458,duty0603
causas Excedencia forzosa,argument0203,duty0604
dicho cómputo,argument0382,duty0605
seis semanas posteriores al parto,argument0887,duty0606
suspensión obligatoria del contrato de la madre biológica,argument0914,duty0607
causas Ejercicio de cargo público representativo,argument0202,duty0608
reglas,argument0830,duty0609
cualificación o competencia profesional adquirida a través del contrato para la formación y el aprendizaje,argument0325,duty0610
"términos previstos en la Ley Orgánica 5/2002, de 19 de junio, de las Cualificaciones y de la Formación Profesional, y en su normativa de desarrollo",argument0968,duty0611
indemnización,argument0529,duty0614
disfrute,argument0394,duty0615
número de puestos,argument0687,duty0616
comité de empresa,argument0231,duty0624
"causas económicas, técnicas, organizativas o de producción",argument0205,duty0639
causas Incapacidad temporal,argument0204,duty0641
las órdenes e instrucciones del empresario,argument0588,duty0642
"en el supuesto de nacimiento, adopción, guarda con fines de adopción o acogimiento múltiple por cada hijo o hija distinta del primero",argument0465,duty0644
horas complementarias,argument0512,duty0645
causas,argument0201,duty0646
plazo máximo de duración,argument0763,duty0647
texto refundido de la Ley sobre Infracciones y Sanciones en el Orden Social,argument0919,duty0648
calendario laboral,argument0185,duty0652
sistema de impartición,argument0895,duty0657
características de la formación,argument0195,duty0658
extremos,argument0493,duty0674
Número y clasificación profesional,argument0096,duty0675
relaciones laborales,argument0835,duty0679
puestos,argument0801,duty0682
puesto,argument0799,duty0683
cómputo,argument0333,duty0684
antigüedad,argument0152,duty0685
retribución,argument0869,duty0686
impugnación del proceso electoral,argument0520,duty0691
registro del acta,argument0825,duty0692
la copia básica de los contratos,argument0564,duty0693
causas,argument0201,duty0695
contenido del laudo,argument0275,duty0696
contenido del laudo,argument0275,duty0697
incrementará,argument0523,duty0700
contener,argument0273,duty0701
papeletas de votos nulos o impugnados por los interventores,argument0723,duty0704
acta de constitución de la mesa,argument0128,duty0705
derechos y obligaciones correspondientes al puesto de trabajo,argument0369,duty0715
acciones,argument0119,duty0718
parte de indemnización,argument0725,duty0723
