event_mention,event_subject,event_subject_id,event_subject_type,event_object,event_object_id,event_object_type,event_complement,event_complement_id,event_trigger,event_trigger_id,relation_type,relation_id
"Los trabajadores con contratos temporales y de duración determinada tendrán los mismos derechos que los trabajadores con contratos de duración indefinida, sin perjuicio de las particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos",trabajadores con contratos temporales y de duración determinada,argument0939,LegalAgent,trabajadores con contratos de duración indefinida,argument0938,LegalAgent,particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos,argument0731,tendrán,trigger0676,Right,right0010
"El plazo de caducidad quedará interrumpido por la presentación de la solicitud de conciliación ante el órgano público de mediación, arbitraje y conciliación competente",plazo de caducidad,argument0762,LegalConcept,solicitud de conciliación,argument0899,LegalConcept,"ante el órgano público de mediación, arbitraje y conciliación competente",argument0151,quedará interrumpido,trigger0478,Duty,duty0016
El procedimiento será sumario y preferente,procedimiento,argument0776,LegalConcept,,,,,,será,trigger0610,Norelation,
"Los trabajadores tendrán derecho a un periodo de excedencia de duración no superior a tres años para atender al cuidado de cada hijo, tanto cuando lo sea por naturaleza, como por adopción, o en los supuestos de guarda con fines de adopción o acogimiento permanente, a contar desde la fecha de nacimiento o, en su caso, de la resolución judicial o administrativa",trabajadores,argument0933,LegalAgent,,,,,,tendrán derecho,trigger0677,Right,right0011
"En caso de desacuerdo entre las partes, la jurisdicción social fijará la fecha que para el disfrute corresponda y su decisión será irrecurrible",jurisdicción social,argument0560,LegalEntity,,,,,,fijará,trigger0257,Duty,duty0017
"Las sustituciones, revocaciones, dimisiones y extinciones de mandato se comunicarán a la oficina pública dependiente de la autoridad laboral y al empresario, publicándose asimismo en el tablón de anuncios","sustituciones, revocaciones, dimisiones y extinciones de mandato",argument0915,LegalConcept,oficina pública,argument0700,LegalEntity,,,comunicarán,trigger0067,Duty,duty0018
"Las sustituciones, revocaciones, dimisiones y extinciones de mandato se comunicarán a la oficina pública dependiente de la autoridad laboral y al empresario, publicándose asimismo en el tablón de anuncios","sustituciones, revocaciones, dimisiones y extinciones de mandato",argument0915,LegalConcept,empresario,argument0449,LegalEntity,,,comunicarán,trigger0067,Duty,duty0019
"Sin perjuicio de lo anterior, cuando concurran causas económicas, técnicas, organizativas o de producción, por acuerdo entre la empresa y los representantes de los trabajadores legitimados para negociar un convenio colectivo conforme a lo previsto en el artículo 87.1, se podrá proceder, previo desarrollo de un periodo de consultas en los términos del artículo 41.4, a inaplicar en la empresa las condiciones de trabajo previstas en el convenio colectivo aplicable, sea este de sector o de empresa, que afecten a las siguientes materias Sistema de remuneración y cuantía salarial",empresa,argument0445,LegalAgent,,,,,,se podrá proceder,trigger0580,Privilege,privilege0006
"Estos acuerdos, así como los acuerdos interprofesionales a que se refiere el apartado 2, tendrán el tratamiento de esta ley para los convenios colectivos",acuerdos,argument0139,LegalConcept,,,,,,tendrán,trigger0676,Duty,duty0020
"La empresa garantizará el registro diario de jornada, que deberá incluir el horario concreto de inicio y finalización de la jornada de trabajo de cada persona trabajadora, sin perjuicio de la flexibilidad horaria que se establece en este artículo",empresa,argument0445,LegalAgent,,,,,,garantizará,trigger0261,Duty,duty0021
Cuando no exista representación legal de los trabajadores también deberá formalizarse copia básica y remitirse a la oficina de empleo,no exista representación legal de los trabajadores,argument0670,LegalConcept,,,,,,deberá formalizarse,trigger0125,Duty,duty0022
"Cuando la empresa, el centro de trabajo o la unidad productiva objeto de la transmisión conserve su autonomía, el cambio de titularidad del empresario no extinguirá por sí mismo el mandato de los representantes legales de los trabajadores, que seguirán ejerciendo sus funciones en los mismos términos y bajo las mismas condiciones que regían con anterioridad","empresa, centro de trabajo, unidad productiva",argument0448,LegalEntity,,,,,,conservar,trigger0071,Duty,duty0023
Se considerarán relaciones laborales de carácter especial La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo,trabajadores con discapacidad,argument0940,LegalAgent,,,,,,prestar,trigger0454,Duty,duty0024
"Sin perjuicio de la libertad de contratación a que se refieren los apartados anteriores, los convenios colectivos habrán de expresar como contenido mínimo lo siguiente Determinación de las partes que los conciertan",convenios colectivos,argument0306,LegalConcept,,,,,,expresar,trigger0251,Duty,duty0025
"En este último caso, se indicarán las razones objetivas en las que se sustenta la decisión",,,,,,,,,indicar,trigger0283,Norelation,
Podrán contratar la prestación de su trabajo Quienes tengan plena capacidad de obrar conforme a lo dispuesto en el Código Civil,Quienes,argument0101,LegalConcept,,,,,,contratar,trigger0091,Privilege,privilege0007
"Cada progenitor podrá disfrutar individualmente de un máximo de diez semanas sobre las doce semanas totales de disfrute voluntario, quedando las restantes sobre el total de las doce semanas a disposición del otro progenitor",Cada progenitor,argument0003,LegalAgent,,,,,,disfrutar,trigger0190,Privilege,privilege0008
La negativa del trabajador a dichos reconocimientos podrá determinar la suspensión de los derechos económicos que pudieran existir a cargo del empresario por dichas situaciones,La negativa del trabajador,argument0061,LegalAgent,,,,,,determinar,trigger0186,Duty,duty0026
"El contrato de trabajo podrá suspenderse por las siguientes causas Privación de libertad del trabajador, mientras no exista sentencia condenatoria",El contrato de trabajo,argument0024,LegalConcept,,,,,,suspenderse,trigger0649,Duty,duty0027
En el resto de los convenios no se superará el número de trece,convenios,argument0305,LegalEntity,,,,,,superará,trigger0646,NoRight,noright0003
La mesa electoral cumplirá las siguientes funciones Recibirá y proclamará las candidaturas que se presenten,mesa electoral,argument0643,LegalEntity,,,,,,cumplirá,trigger0100,Duty,duty0028
La movilidad funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales precisas para ejercer la prestación laboral y con respeto a la dignidad del trabajador,empresa,argument0445,LegalAgent,,,,,,efectuará,trigger0195,Duty,duty0029
Se podrán acoger a esta modalidad contractual los trabajadores que cursen formación profesional del sistema educativo,trabajadores,argument0933,LegalAgent,,,,,,acogerán,trigger0035,Privilege,privilege0009
"El Gobierno, previas las consultas que considere oportunas a las asociaciones empresariales y organizaciones sindicales, dictará las normas necesarias para la aplicación del título II en aquellas empresas pertenecientes a sectores de actividad en las que sea relevante el número de trabajadores no fijos o el de trabajadores menores de dieciocho años, así como a los colectivos en los que, por la naturaleza de sus actividades, se ocasione una movilidad permanente, una acusada dispersión o unos desplazamientos de localidad, ligados al ejercicio normal de sus actividades, y en los que concurran otras circunstancias que hagan aconsejable su inclusión en el ámbito de aplicación del título II citado",Gobierno,argument0042,LegalEntity,,,,,,dictará,trigger0189,Duty,duty0030
"Se reconoce al comité de empresa capacidad, como órgano colegiado, para ejercer acciones administrativas o judiciales en todo lo relativo al ámbito de sus competencias, por decisión mayoritaria de sus miembros",comité de empresa,argument0231,LegalEntity,,,,,,reconoce,trigger0496,Duty,duty0031
El empresario deberá comunicar su decisión y las razones de esta a los representantes de los trabajadores,empresario,argument0449,LegalAgent,representantes de los trabajadores,argument0850,LegalAgent,,,deberá comunicar,trigger0113,Duty,duty0032
"Se excluyen del ámbito regulado por esta ley La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo",,,,,,,,,,,Norelation,
"En todo caso, se entiende que se incurre en la cesión ilegal de trabajadores contemplada en este artículo cuando se produzca alguna de las siguientes circunstancias: que el objeto de los contratos de servicios entre las empresas se limite a una mera puesta a disposición de los trabajadores de la empresa cedente a la empresa cesionaria, o que la empresa cedente carezca de una actividad o de una organización propia y estable, o no cuente con los medios necesarios para el desarrollo de su actividad, o no ejerza las funciones inherentes a su condición de empresario",empresas,argument0456,LegalEntity,,,,,,se incurre,trigger0570,NoRight,noright0004
"La asamblea será presidida, en todo caso, por el comité de empresa o por los delegados de personal mancomunadamente, que serán responsables del normal desarrollo de la misma, así como de la presencia en la asamblea de personas no pertenecientes a la empresa",comité de empresa o por los delegados de personal,argument0232,LegalEntity,,,,,,será presidida,trigger0621,NoRight,noright0005
"Sin perjuicio de lo anterior, cuando concurran causas económicas, técnicas, organizativas o de producción, por acuerdo entre la empresa y los representantes de los trabajadores legitimados para negociar un convenio colectivo conforme a lo previsto en el artículo 87.1, se podrá proceder, previo desarrollo de un periodo de consultas en los términos del artículo 41.4, a inaplicar en la empresa las condiciones de trabajo previstas en el convenio colectivo aplicable, sea este de sector o de empresa, que afecten a las siguientes materias Mejoras voluntarias de la acción protectora de la Seguridad Social",empresa,argument0445,LegalAgent,,,,,,se podrá proceder,trigger0580,Duty,duty0033
La realización de horas complementarias se regirá por lo dispuesto en el apartado 5.,,,,,,,,,,,Norelation,
"La empresa Mediante negociación colectiva o acuerdo de empresa o, en su defecto, decisión del empresario previa consulta con los representantes legales de los trabajadores en la empresa, se organizará y documentará este registro de jornada",empresa,argument0445,LegalAgent,,,,registro de jornada,argument0823,organizará y documentará,trigger0344,Duty,duty0034
"el arbitraje Transcurrido un año desde la denuncia del convenio colectivo sin que se haya acordado un nuevo convenio o dictado un laudo arbitral, aquel perderá, salvo pacto en contrario, vigencia y se aplicará, si lo hubiere, el convenio colectivo de ámbito superior que fuera de aplicación",arbitraje,argument0161,LegalConcept,,,,,,perderá,trigger0352,NoRight,noright0006
"La acción protectora de la Seguridad Social del trabajador contratado para la formación y el aprendizaje comprenderá todas las contingencias protegibles y prestaciones, incluido el desempleo",acción protectora de la Seguridad Social,argument0121,LegalConcept,,,,,,comprenderá,trigger0063,Right,right0012
"razones Tendrán la consideración de modificaciones sustanciales de las condiciones de trabajo, entre otras, las que afecten a las siguientes materias Horario y distribución del tiempo de trabajo",razones,argument0808,LegalConcept,,,,modificaciones sustanciales de las condiciones de trabajo,argument0656,Tendrán la consideración de,trigger0029,Duty,duty0035
"razones Tendrán la consideración de modificaciones sustanciales de las condiciones de trabajo, entre otras, las que afecten a las siguientes materias Horario y distribución del tiempo de trabajo",razones,argument0808,LegalConcept,,,,Horario y distribución del tiempo de trabajo,argument0043,Tendrán la consideración de,trigger0029,Duty,duty0036
"Las disposiciones adicionales primera y tercera y las disposiciones transitorias primera, segunda y duodécima de la Ley 35/2010, de 17 de septiembre, de medidas urgentes para la reforma del mercado de trabajo","disposiciones adicionales primera y tercera y las disposiciones transitorias primera, segunda y duodécima de la Ley 35/2010, de 17 de septiembre, de medidas urgentes para la reforma del mercado de trabajo",argument0399,LegalConcept,,,,,,,,Norelation,
"Si resultase nula solo una parte del contrato de trabajo, este permanecerá válido en lo restante, y se entenderá completado con los preceptos jurídicos adecuados conforme a lo dispuesto en el artículo 3.1.Si el trabajador tuviera asignadas condiciones o retribuciones especiales en virtud de contraprestaciones establecidas en la parte no válida del contrato, el órgano de la jurisdicción social que a instancia de parte declare la nulidad hará el debido pronunciamiento sobre la subsistencia o supresión en todo o en parte de dichas condiciones o retribuciones",este,argument0479,LegalConcept,,,,,,permanecerá válido,trigger0353,Duty,duty0037
"A estos efectos, se considerará terminado el contrato El día en que expire el tiempo de duración convenido o fijado por disposición legal o convenio colectivo",se,argument0885,LegalConcept,,,,,,considerará terminado,trigger0077,Duty,duty0038
"La interposición del conflicto colectivo paralizará la tramitación de las acciones individuales iniciadas, hasta su resolución",interposición del conflicto colectivo,argument0546,LegalConcept,,,,,,paralizará,trigger0349,Duty,duty0039
Igualmente se fijará por convenio colectivo la cuantía de tales gratificaciones,convenio colectivo,argument0302,LegalConcept,,,,cuantía de tales gratificaciones,argument0328,fijará,trigger0257,Duty,duty0040
"Igualmente, el contrato de trabajo podrá ser suspendido por causa derivada de fuerza mayor con arreglo al procedimiento establecido en el artículo 51.7 y normas reglamentarias de desarrollo",contrato de trabajo,argument0286,LegalConcept,,,,causa derivada de fuerza mayor,argument0199,podrá ser suspendido,trigger0411,Duty,duty0041
"Se consideran horas complementarias las realizadas como adición a las horas ordinarias pactadas en el contrato a tiempo parcial, conforme a las siguientes reglas Sin perjuicio del pacto de horas complementarias, en los contratos a tiempo parcial de duración indefinida con una jornada de trabajo no inferior a diez horas semanales en cómputo anual, el empresario podrá, en cualquier momento, ofrecer al trabajador la realización de horas complementarias de aceptación voluntaria, cuyo número no podrá superar el quince por ciento, ampliables al treinta por ciento por convenio colectivo, de las horas ordinarias objeto del contrato",empresario,argument0449,LegalAgent,trabajador,argument0925,LegalAgent,horas complementarias,argument0512,ofrecer,trigger0340,Duty,duty0042
En los supuestos de conflicto colectivo relativo a la interpretación o aplicación del convenio deberá intervenir la comisión paritaria del mismo con carácter previo al planteamiento formal del conflicto en el ámbito de los procedimientos no judiciales a que se refiere el apartado anterior o ante el órgano judicial competente,comisión paritaria,argument0227,LegalEntity,,,,conflicto colectivo relativo a la interpretación o aplicación del convenio,argument0264,deberá intervenir,trigger0129,Duty,duty0043
"A tal efecto, el número y retribución de las horas complementarias realizadas se deberá recoger en el recibo individual de salarios y en los documentos de cotización a la Seguridad Social",el número y retribución de las horas complementarias realizadas,argument0429,LegalConcept,,,,el recibo individual de salarios,argument0434,se deberá recoger,trigger0541,Duty,duty0044
"A tal efecto, el número y retribución de las horas complementarias realizadas se deberá recoger en el recibo individual de salarios y en los documentos de cotización a la Seguridad Social",el número y retribución de las horas complementarias realizadas,argument0429,LegalConcept,,,,los documentos de cotización a la Seguridad Social,argument0611,se deberá recoger,trigger0541,Duty,duty0045
"A los efectos de este artículo, los títulos de grado, máster y, en su caso, doctorado, correspondientes a los estudios universitarios no se considerarán la misma titulación, salvo que al ser contratado por primera vez mediante un contrato en prácticas el trabajador estuviera ya en posesión del título superior de que se trate","los títulos de grado, máster y, en su caso, doctorado, correspondientes a los estudios universitarios",argument0621,LegalConcept,,,,,,no se considerarán,trigger0326,NoRight,noright0007
El acuerdo por el que se establezca el trabajo a distancia se formalizará por escrito,El acuerdo por el que se establezca el trabajo a distancia,argument0020,LegalConcept,,,,,,se formalizará,trigger0564,Duty,duty0046
"El acuerdo de inaplicación no podrá dar lugar al incumplimiento de las obligaciones establecidas en convenio relativas a la eliminación de las discriminaciones por razones de género o de las que estuvieran previstas, en su caso, en el plan de igualdad aplicable en la empresa",El acuerdo de inaplicación,argument0019,LegalConcept,,,,"las obligaciones establecidas en convenio relativas a la eliminación de las discriminaciones por razones de género o de las que estuvieran previstas, en su caso, en el plan de igualdad aplicable en la empresa",argument0583,no podrá dar lugar,trigger0309,NoRight,noright0008
"El Gobierno podrá reducir el plazo mínimo de preaviso de un mes previsto en el párrafo segundo del artículo 67.1, en los sectores de actividad con alta movilidad del personal, previa consulta con las organizaciones sindicales que en ese ámbito funcional ostenten, al menos, el diez por ciento de los representantes de los trabajadores, y con las asociaciones empresariales que cuenten con el diez por ciento de los empresarios y de los trabajadores afectados por el mismo ámbito funcional",Gobierno,argument0042,LegalEntity,,,,,,podrá reducir,trigger0403,Privilege,privilege0010
"Cuando se trate de elecciones a miembros del comité de empresa, constituida la mesa electoral solicitará al empresario el censo laboral y confeccionará, con los medios que le habrá de facilitar este, la lista de electores",mesa electoral,argument0643,LegalEntity,empresario,argument0449,LegalAgent,censo laboral,argument0210,solicitará,trigger0642,Duty,duty0047
Las actividades formativas podrán incluir formación complementaria no referida al Catálogo Nacional de Cualificaciones Profesionales para adaptarse tanto a las necesidades de los trabajadores como de las empresas,actividades formativas,argument0134,LegalConcept,,,,formación complementaria,argument0504,podrán incluir,trigger0435,Privilege,privilege0011
