event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id
comité de empresa,,,reconoce,LegalEntity,,argument0231,,,trigger0496
empresario,representantes de los trabajadores,,deberá comunicar,LegalAgent,LegalAgent,argument0449,argument0850,,trigger0113
,,,,,,,,,
empresas,,,se incurre,LegalEntity,,argument0456,,,trigger0570
comité de empresa o por los delegados de personal,,,será presidida,LegalEntity,,argument0232,,,trigger0621
empresa,,,se podrá proceder,LegalAgent,,argument0445,,,trigger0580
,,,,,,,,,
empresa,,registro de jornada,organizará y documentará,LegalAgent,,argument0445,,argument0823,trigger0344
arbitraje,,,perderá,LegalConcept,,argument0161,,,trigger0352
acción protectora de la Seguridad Social,,,comprenderá,LegalConcept,,argument0121,,,trigger0063
razones,,modificaciones sustanciales de las condiciones de trabajo,Tendrán la consideración de,LegalConcept,,argument0808,,argument0656,trigger0029
razones,,Horario y distribución del tiempo de trabajo,Tendrán la consideración de,LegalConcept,,argument0808,,argument0043,trigger0029
"disposiciones adicionales primera y tercera y las disposiciones transitorias primera, segunda y duodécima de la Ley 35/2010, de 17 de septiembre, de medidas urgentes para la reforma del mercado de trabajo",,,,LegalConcept,,argument0399,,,
este,,,permanecerá válido,LegalConcept,,argument0479,,,trigger0353
se,,,considerará terminado,LegalConcept,,argument0885,,,trigger0077
interposición del conflicto colectivo,,,paralizará,LegalConcept,,argument0546,,,trigger0349
convenio colectivo,,cuantía de tales gratificaciones,fijará,LegalConcept,,argument0302,,argument0328,trigger0257
contrato de trabajo,,causa derivada de fuerza mayor,podrá ser suspendido,LegalConcept,,argument0286,,argument0199,trigger0411
empresario,trabajador,horas complementarias,ofrecer,LegalAgent,LegalAgent,argument0449,argument0925,argument0512,trigger0340
comisión paritaria,,conflicto colectivo relativo a la interpretación o aplicación del convenio,deberá intervenir,LegalEntity,,argument0227,,argument0264,trigger0129
el número y retribución de las horas complementarias realizadas,,el recibo individual de salarios,se deberá recoger,LegalConcept,,argument0429,,argument0434,trigger0541
el número y retribución de las horas complementarias realizadas,,los documentos de cotización a la Seguridad Social,se deberá recoger,LegalConcept,,argument0429,,argument0611,trigger0541
"los títulos de grado, máster y, en su caso, doctorado, correspondientes a los estudios universitarios",,,no se considerarán,LegalConcept,,argument0621,,,trigger0326
El acuerdo por el que se establezca el trabajo a distancia,,,se formalizará,LegalConcept,,argument0020,,,trigger0564
El acuerdo de inaplicación,,"las obligaciones establecidas en convenio relativas a la eliminación de las discriminaciones por razones de género o de las que estuvieran previstas, en su caso, en el plan de igualdad aplicable en la empresa",no podrá dar lugar,LegalConcept,,argument0019,,argument0583,trigger0309
Gobierno,,,podrá reducir,LegalEntity,,argument0042,,,trigger0403
mesa electoral,empresario,censo laboral,solicitará,LegalEntity,LegalAgent,argument0643,argument0449,argument0210,trigger0642
actividades formativas,,formación complementaria,podrán incluir,LegalConcept,,argument0134,,argument0504,trigger0435
Fondo de Garantía Salarial,empresarios,aportaciones,se financiará,LegalConcept,LegalAgent,argument0041,argument0455,argument0157,trigger0563
actividad de trabajo en el mar,,buque,se considerará,LegalConcept,,argument0132,,argument0182,trigger0530
relaciones laborales de carácter especial,,residencia,se considerarán,LegalConcept,,argument0836,,argument0858,trigger0533
cedente y el cesionario,,obligaciones laborales,responderán solidariamente,LegalEntity,,argument0208,,argument0694,trigger0510
duración del descanso semanal de los menores de dieciocho años,,,será,LegalConcept,,argument0412,,,trigger0610
contratos temporales,,,presumirán,LegalConcept,,argument0298,,,trigger0458
trabajadores fijos-discontinuos,,,serán llamados,LegalAgent,,argument0944,,,trigger0630
competencias,,,,LegalConcept,,argument0239,,,
trabajo a distancia,,,Tendrá la consideración de,LegalConcept,,argument0950,,,trigger0026
régimen de horas complementarias,,,continuará siendo de aplicación,LegalConcept,,argument0875,,,trigger0089
Ambas partes,,,estarán obligadas a negociar,LegalEntity,,argument0002,,,trigger0233
trabajador,,,procederá la apertura de expediente contradictorio,LegalAgent,,argument0925,,,trigger0462
certificaciones,,,consignarán,LegalConcept,,argument0212,,,trigger0079
relaciones laborales,servicio del hogar familiar,,considerarán,LegalConcept,LegalConcept,argument0835,argument0890,,trigger0078
insolvencia del empresario,ejecución,créditos laborales,existe,LegalConcept,LegalConcept,argument0541,argument0420,argument0322,trigger0246
trabajadores,derechos básicos,medidas de conflicto colectivo,tienen,LegalAgent,LegalConcept,argument0933,argument0366,argument0635,trigger0695
negociación colectiva,términos de su ejercicio,criterios y sistemas,pactarán,LegalConcept,LegalConcept,argument0668,argument0966,argument0319,trigger0348
los convocantes,,,se requerirá,LegalEntity,,argument0610,,,trigger0599
Los derechos y obligaciones concernientes a la relación laboral,,,se regulan,LegalConcept,,argument0086,,,trigger0598
El trabajador,,,correrá a cargo,LegalAgent,,argument0030,,,trigger0095
Las discrepancias que surjan entre empresarios y trabajadores,,,se resolverán,LegalConcept,,argument0068,,,trigger0600
comités de empresa o centro de trabajo,,,elegirán,LegalEntity,,argument0234,,,trigger0202
partes negociadoras,,,corresponderá,LegalEntity,,argument0730,,,trigger0097
duración de la jornada,,,deberá ser,LegalConcept,,argument0411,,,trigger0143
empresario,trabajador,,podrá optar,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0392
Lo establecido en el párrafo anterior,,,será de aplicación,LegalConcept,,argument0079,,,trigger0614
la reserva de su puesto de trabajo,,,se extenderá,LegalConcept,,argument0575,,,trigger0560
"Todo sindicato, federación o confederación sindical, y toda asociación empresarial que reúna el requisito de legitimación",,,tendrá derecho a formar parte,LegalConcept,,argument0112,,,trigger0658
el otro,,,tendrá derecho al traslado,LegalAgent,,argument0430,,,trigger0666
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
,,,,,,,,,
comité de empresa,,,tendrá derecho,LegalEntity,,argument0231,,,trigger0652
,,,,,,,,,
consulta,,,se entiende,LegalConcept,,argument0271,,,trigger0557
actividades,,,serán objeto de desarrollo,LegalConcept,,argument0133,,,trigger0631
convenios colectivos,,,tendrán,LegalConcept,,argument0306,,,trigger0676
adopción del acuerdo de extinción,,,exige,LegalConcept,,argument0145,,,trigger0245
empresario,,centro de trabajo,deberá facilitar,LegalAgent,,argument0449,,argument0211,trigger0122
coste,plan,,recaerá,LegalConcept,LegalConcept,argument0317,argument0759,,trigger0493
contrato,,plenos efectos,producirá,LegalConcept,,argument0283,,argument0766,trigger0465
contrato,,tiempo de los servicios prestados,producirá,LegalConcept,,argument0283,,argument0921,trigger0465
contrato,,jornada completa,presumirá,LegalConcept,,argument0283,,argument0552,trigger0457
personas trabajadoras,,registro salarial,tienen derecho a acceder,LegalAgent,,argument0758,,argument0826,trigger0699
Lo dispuesto en el artículo 15.1.a),,,,LegalConcept,,argument0078,,,
sentencia,trabajador,traslado justificado o injustificado,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0961,trigger0178
sentencia,trabajador,derecho del trabajador,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0362,trigger0178
empresario,representantes de los trabajadores,decisión sobre el despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0343,trigger0304
empresario,representantes de los trabajadores,procedimiento de despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0779,trigger0304
empresario,autoridad laboral,decisión sobre el despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0343,trigger0304
empresario,autoridad laboral,procedimiento de despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0779,trigger0304
trabajadores,,,Se considerará,LegalAgent,,argument0933,,,trigger0017
Fondo,,,se calcularán,LegalEntity,,argument0040,,,trigger0522
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561
oficina pública,,preavisos,expondrá,LegalEntity,,argument0700,,argument0767,trigger0250
jornada de trabajo,,,podrá reducirse,LegalConcept,,argument0555,,,trigger0404
empresario,trabajador,,tendrá derecho a,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0653
nacimiento,contrato de trabajo,,suspenderá,LegalConcept,LegalConcept,argument0664,argument0286,,trigger0650
disminución,,,se entenderá,LegalConcept,,argument0396,,,trigger0549
trabajador,,,podrá hacerlo,LegalAgent,,argument0925,,,trigger0385
derechos y obligaciones,,,se regulan,LegalConcept,,argument0368,,,trigger0598
menores de dieciocho y mayores de dieciséis años,,,Podrán contratar,LegalConcept,,argument0641,,,trigger0009
reparto de miembros,,derecho de todos los legitimados,se efectuará,LegalConcept,,argument0842,,argument0361,trigger0547
reparto de miembros,,proporción a su representatividad,se efectuará,LegalConcept,,argument0842,,argument0790,trigger0547
falta de pago o retrasos continuados,,,pueda solicitar,LegalConcept,,argument0495,,,trigger0474
comité de empresa,,conjunto de los trabajadores,es,LegalEntity,,argument0231,,argument0266,trigger0213
comité de empresa,,defensa de sus intereses,es,LegalEntity,,argument0231,,argument0345,trigger0213
Fondo de Garantía Salarial,,protección regulada en este artículo,dispensará,LegalEntity,,argument0041,,argument0793,trigger0192
Fondo de Garantía Salarial,,créditos impagados de los trabajadores,dispensará,LegalEntity,,argument0041,,argument0321,trigger0192
autoridad laboral,,indemnización,podrá acordar,LegalEntity,,argument0177,,argument0529,trigger0356
autoridad laboral,,trabajadores,podrá acordar,LegalEntity,,argument0177,,argument0933,trigger0356
autoridad laboral,,contratos,podrá acordar,LegalEntity,,argument0177,,argument0290,trigger0356
empresario,representantes de los trabajadores,,remitirá,LegalAgent,LegalAgent,argument0449,argument0850,,trigger0500
empresario,autoridad laboral,,remitirá,LegalAgent,LegalAgent,argument0449,argument0177,,trigger0500
derechos,,disposiciones legales,serán reconocidos,LegalConcept,,argument0365,,argument0401,trigger0633
derechos,,reglamentarias,serán reconocidos,LegalConcept,,argument0365,,argument0829,trigger0633
derechos,,convenios colectivos,serán reconocidos,LegalConcept,,argument0365,,argument0306,trigger0633
promoción,denuncia,convenio colectivo,sea,LegalConcept,LegalConcept,argument0788,argument0357,argument0302,trigger0606
dirección de la empresa,,,deberá comunicar,LegalEntity,,argument0388,,,trigger0113
desplazamientos,,,tendrán,LegalConcept,,argument0377,,,trigger0676
decisión de extensión,,,se adoptará,LegalConcept,,argument0338,,,trigger0515
permiso,,,tendrá,LegalConcept,,argument0746,,,trigger0651
registros,persona del trabajador,sus taquillas,realizarse,LegalConcept,LegalAgent,argument0827,argument0749,argument0909,trigger0489
registros,persona del trabajador,efectos particulares,realizarse,LegalConcept,LegalAgent,argument0827,argument0749,argument0418,trigger0489
organizaciones sindicales y asociaciones empresariales,,,establecer,LegalEntity,,argument0707,,,trigger0214
obligaciones de información y documentación,,,aplicarán,LegalConcept,,argument0691,,,trigger0046
empresa,,"aquellas informaciones específicas relacionadas con secretos industriales, financieros o comerciales",no estará obligada a comunicar,LegalAgent,,argument0445,,argument0160,trigger0301
comité de empresa,,,estarán legitimados para negociar,LegalEntity,,argument0231,,,trigger0232
,,,,,,,,,
,,,Quedan derogadas,,,,,,trigger0012
partes,,,deberán negociar,LegalConcept,,argument0728,,,trigger0164
Los trabajadores,,,no será de aplicación,LegalAgent,,argument0091,,,trigger0328
La impartición de esta formación,,,deberá justificarse,LegalConcept,,argument0057,,,trigger0133
"El disfrute de cada período semanal o, en su caso, de la acumulación de dichos períodos",,,deberá comunicarse,LegalConcept,,argument0026,,,trigger0114
los acuerdos,,,existirá,LegalConcept,,argument0607,,,trigger0247
asociaciones empresariales,,,estarán comprendidas,LegalEntity,,argument0170,,,trigger0228
,,,,,,,,,
resolución,,declaración de insolvencia,será dictada,LegalConcept,,argument0860,,argument0344,trigger0615
,,,,,,,,,
empresa o centro de trabajo,,mesa,constituirá,LegalEntity,,argument0446,,argument0642,trigger0082
intervención como interlocutores,,,regirá,LegalConcept,,argument0548,,,trigger0498
comité de empresa,,,tendrá derecho,LegalEntity,,argument0231,,,trigger0652
retribución,trabajador contratado,,se fijará,LegalConcept,LegalAgent,argument0869,argument0928,,trigger0562
contrato,,reglas,se regirá,LegalConcept,,argument0283,,argument0830,trigger0593
contrato,,,se entiende,LegalConcept,,argument0283,,,trigger0557
contrato,,trabajo en prácticas,podrá concertarse,LegalConcept,,argument0283,,argument0952,trigger0367
comité de empresa,,informe,tendrá derecho a emitir,LegalEntity,,argument0231,,argument0534,trigger0656
cedente y el cesionario,,,deberán informar,LegalEntity,,argument0208,,,trigger0163
,,,,,,,,,
empresario,,resúmenes mensuales,deberá conservar,LegalAgent,,argument0449,,argument0867,trigger0116
empresario,,registros de jornada,deberá conservar,LegalAgent,,argument0449,,argument0828,trigger0116
negociación colectiva,,medidas,podrá establecer,LegalEntity,,argument0668,,argument0634,trigger0377
negociación colectiva,,"condiciones de clasificación profesional, promoción y formación",podrá establecer,LegalEntity,,argument0668,,argument0259,trigger0377
razones,,modificaciones sustanciales de las condiciones de trabajo,Tendrán la consideración de,LegalConcept,,argument0808,,argument0656,trigger0029
razones,,las que afecten a las siguientes materias Régimen de trabajo a turnos,Tendrán la consideración de,LegalConcept,,argument0808,,argument0587,trigger0029
La suspensión,,las obligaciones recíprocas de trabajar y remunerar el trabajo,exonera de,LegalConcept,,argument0066,,argument0584,trigger0249
unos centros,comités de empresa propios,otros de la misma provincia,se constituirán,LegalConcept,LegalEntity,argument0982,argument0235,argument0716,trigger0536
Los trabajadores a distancia,,"una adecuada protección en materia de seguridad y salud resultando de aplicación, en todo caso, lo establecido en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y su normativa de desarrollo",tienen derecho a,LegalAgent,,argument0092,,argument0975,trigger0698
autoridad laboral,entidad gestora,,dará traslado,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0106
empresario,,,tenga,LegalAgent,,argument0449,,,trigger0691
autoridad laboral,entidad gestora,,podrá impugnar,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0386
,,,,,,,,,
sentencia,trabajador,contrato de trabajo,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0286,trigger0178
sentencia,trabajador,salarios,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0881,trigger0178
sentencia,trabajador,importe,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0516,trigger0178
sentencia,trabajador,prestaciones por desempleo,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0773,trigger0178
sentencia,trabajador,periodo de suspensión,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0741,trigger0178
sentencia,trabajador,reintegro,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0834,trigger0178
sentencia,trabajador,importe de dichas prestaciones,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0517,trigger0178
sentencia,empresario,contrato de trabajo,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0286,trigger0178
sentencia,empresario,salarios,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0881,trigger0178
sentencia,empresario,importe,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0516,trigger0178
sentencia,empresario,prestaciones por desempleo,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0773,trigger0178
sentencia,empresario,periodo de suspensión,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0741,trigger0178
sentencia,empresario,reintegro,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0834,trigger0178
sentencia,empresario,importe de dichas prestaciones,declarará,LegalConcept,LegalAgent,argument0888,argument0449,argument0517,trigger0178
interposición del conflicto,,tramitación de las acciones individuales,paralizará,LegalConcept,,argument0545,,argument0957,trigger0349
árbitro,,tres días hábiles,dictará,LegalAgent,,argument0997,,argument0963,trigger0189
árbitro,,comparecencia,dictará,LegalAgent,,argument0997,,argument0237,trigger0189
árbitro,,pruebas,dictará,LegalAgent,,argument0997,,argument0796,trigger0189
árbitro,,personación en el centro de trabajo,dictará,LegalAgent,,argument0997,,argument0752,trigger0189
árbitro,,solicitud de la colaboración necesaria del empresario y las Administraciones Públicas,dictará,LegalAgent,,argument0997,,argument0900,trigger0189
sanción de las faltas graves y muy graves,trabajador,comunicación escrita,requerirá,LegalConcept,LegalAgent,argument0884,argument0925,argument0248,trigger0501
sanción de las faltas graves y muy graves,trabajador,fecha,requerirá,LegalConcept,LegalAgent,argument0884,argument0925,argument0497,trigger0501
sanción de las faltas graves y muy graves,trabajador,hechos,requerirá,LegalConcept,LegalAgent,argument0884,argument0925,argument0511,trigger0501
despedido,,,corresponderá,LegalAgent,,argument0373,,,trigger0097
autoridad laboral,,,pondrá,LegalEntity,,argument0177,,,trigger0448
empresario,trabajador,,abonará,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0033
trabajadores,,,realizar,LegalAgent,,argument0933,,,trigger0487
persona trabajadora,,,necesite hacer,LegalAgent,,argument0751,,,trigger0295
empresas,,,,LegalEntity,,argument0456,,,
secciones sindicales,,,corresponderá,LegalEntity,,argument0886,,,trigger0097
trabajador,,,tiene derecho a participar,LegalAgent,,argument0925,,,trigger0693
empresa,,,no podrá comprenderse,LegalAgent,,argument0445,,,trigger0308
personas prestadoras del servicio de transporte,,,se entenderá excluida,LegalAgent,,argument0757,,,trigger0552
derecho al salario a comisión,,,nacerá,LegalConcept,,argument0360,,,trigger0294
escrito,,Copia de la comunicación dirigida a los trabajadores o a sus representantes por la dirección de la empresa de su intención de iniciar el procedimiento de despido colectivo,se consignarán,LegalConcept,,argument0472,,argument0007,trigger0534
horas de trabajo,,,se realicen,LegalConcept,,argument0513,,,trigger0591
derecho,Fondo de Garantía Salarial,pago de las prestaciones,prescribirá,LegalConcept,LegalEntity,argument0358,argument0041,argument0720,trigger0450
los que no hubieran sido dados de alta en la Seguridad Social,,,Adquirirán,LegalAgent,,argument0614,,,trigger0000
trabajadores,,,tienen,LegalAgent,,argument0933,,,trigger0695
pacto,,horas complementarias,podrá acordarse,LegalConcept,,argument0718,,argument0512,trigger0357
trabajadores,,situación de excedencia,podrán solicitar,LegalAgent,,argument0933,,argument0898,trigger0445
retribución,,,podrá ser,LegalConcept,,argument0869,,,trigger0407
contrato,,número de horas ordinarias de trabajo,deberá figurar,LegalConcept,,argument0283,,argument0683,trigger0124
empresario,,centro de trabajo,deberá facilitar,LegalAgent,,argument0449,,argument0211,trigger0122
escrito,,,deberá presentarse,LegalConcept,,argument0472,,,trigger0137
contrato de trabajo,,causas,podrá suspenderse,LegalConcept,,argument0286,,argument0201,trigger0418
establecimiento de planes de igualdad,empresas,,se ajustará,LegalConcept,LegalEntity,argument0477,argument0456,,trigger0516
acción,,,se ejercita,LegalConcept,,argument0120,,,trigger0548
miembros del comité o delegado de personal,,,Disponer,LegalAgent,,argument0650,,,trigger0005
persona trabajadora,,,deberá comunicar,LegalAgent,,argument0751,,,trigger0113
duración del mandato de los delegados de personal y de los miembros del comité de empresa,,,será,LegalConcept,,argument0413,,,trigger0610
convenio colectivo o acuerdo,,prioridades de permanencia,establecer,LegalConcept,,argument0303,,argument0775,trigger0214
convenio colectivo o acuerdo,,otros colectivos,establecer,LegalConcept,,argument0303,,argument0715,trigger0214
convenio colectivo o acuerdo,,trabajadores con cargas familiares,establecer,LegalConcept,,argument0303,,argument0937,trigger0214
convenio colectivo o acuerdo,,mayores de determinada edad,establecer,LegalConcept,,argument0303,,argument0630,trigger0214
convenio colectivo o acuerdo,,personas con discapacidad,establecer,LegalConcept,,argument0303,,argument0756,trigger0214
cada elector,,,dar,LegalAgent,,argument0183,,,trigger0101
representante legal,persona de capacidad limitada,trabajo,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0949,trigger0053
representante legal,persona de capacidad limitada,derechos,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0365,trigger0053
representante legal,persona de capacidad limitada,deberes,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0335,trigger0053
representante legal,persona de capacidad limitada,contrato,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0283,trigger0053
representante legal,persona de capacidad limitada,cesación,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0215,trigger0053
persona,,derecho,ejerza,LegalAgent,,argument0747,,argument0358,trigger0198
persona,,duración,ejerza,LegalAgent,,argument0747,,argument0410,trigger0198
persona,,régimen,ejerza,LegalAgent,,argument0747,,argument0874,trigger0198
persona,,otro progenitor,ejerza,LegalAgent,,argument0747,,argument0713,trigger0198
persona,,reserva de puesto de trabajo,ejerza,LegalAgent,,argument0747,,argument0857,trigger0198
persona,,máximo de dieciocho meses,ejerza,LegalAgent,,argument0747,,argument0663,trigger0198
"La disposición adicional séptima y la disposición transitoria segunda de la Ley 43/2006, de 29 de diciembre, para la mejora del crecimiento y del empleo",,,,LegalConcept,,argument0053,,,
se,alguna reclamación,en el acta,hará constar,LegalAgent,LegalAgent,argument0885,argument0149,argument0463,trigger0278
La liquidación y el pago del salario,,,se harán,LegalConcept,,argument0059,,,trigger0567
se,aquel,,se considerará,LegalAgent,LegalAgent,argument0885,argument0158,,trigger0530
contrato de relevo,puesto de trabajo,,se ajustará,LegalConcept,LegalConcept,argument0285,argument0800,,trigger0516
contrato de relevo,trabajador relevista,,se ajustará,LegalConcept,LegalConcept,argument0285,argument0929,,trigger0516
contrato de relevo,trabajador sustituido,,se ajustará,LegalConcept,LegalConcept,argument0285,argument0930,,trigger0516
empresas,contratos en prácticas,,tendrán derecho,LegalEntity,LegalConcept,argument0456,argument0294,,trigger0677
empresas,trabajadores con discapacidad,,tendrán derecho,LegalEntity,LegalConcept,argument0456,argument0940,,trigger0677
diferencias,distribución irregular de la jornada,,deberán quedar compensadas,LegalConcept,LegalConcept,argument0387,argument0407,,trigger0166
empresario,salario,moneda de curso legal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0659,trigger0375
empresario,salario,cheque,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0218,trigger0375
empresario,salario,modalidad de pago similar,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0652,trigger0375
empresario,salario,entidades de crédito,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0469,trigger0375
empresario,salario,informe al comité de empresa,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0535,trigger0375
empresario,salario,delegados de personal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0348,trigger0375
