event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
empresario,,,podrá limitar,LegalAgent,,argument0449,,,trigger0390,noright0095
,,despido,nulo,,,,,argument0374,trigger0335,noright0096
contrato de trabajo,trabajador,,se extinguirá,LegalConcept,LegalAgent,argument0286,argument0925,,trigger0561,noright0097
,,,considerarán,,,,,,trigger0078,noright0098
justificación,,,no podrá ser tomada,LegalConcept,,argument0561,,,trigger0318,noright0099
trabajo,,,no estará sometido,LegalConcept,,argument0949,,,trigger0302,noright0100
la opción,,,no efectuar,LegalConcept,,argument0571,,,trigger0300,noright0101
incumplimiento,requisitos,este artículo,determinará,LegalConcept,LegalConcept,argument0524,argument0855,argument0480,trigger0187,noright0102
acuerdo,representantes de los trabajadores,periodo de consultas,entenderá,LegalConcept,LegalAgent,argument0135,argument0850,argument0737,trigger0204,noright0103
tramitación,,,quedará paralizada,LegalConcept,,argument0956,,,trigger0479,noright0104
decisión extintiva,,,Será también nula,LegalConcept,,argument0340,,,trigger0023,noright0105
indemnización,,contratos,no será de aplicación a,LegalConcept,,argument0529,,argument0290,trigger0329,noright0106
fiestas laborales,,,no podrán exceder de,LegalConcept,,argument0502,,,trigger0321,noright0107
acuerdo,,,no será,LegalConcept,,argument0135,,,trigger0327,noright0108
empresario,,,optar,LegalAgent,,argument0449,,,trigger0341,noright0109
empresa,,,realice,LegalEntity,,argument0445,,,trigger0483,noright0110
convenios colectivos,,,establecer,LegalConcept,,argument0306,,,trigger0214,noright0111
acta,,,será firmada,LegalConcept,,argument0127,,,trigger0618,noright0112
periodo de reducción de jornada,,,no podrán realizarse,LegalConcept,,argument0740,,,trigger0323,noright0113
número de horas complementarias pactadas,,,no podrá exceder,LegalConcept,,argument0682,,,trigger0311,noright0114
trabajadores,,,podrán disponer,LegalAgent,,argument0933,,,trigger0429,noright0115
trabajadores,,,decaerá,LegalAgent,,argument0933,,,trigger0177,noright0116
renuncia,,promoción,no impedirá,LegalAgent,,argument0840,,argument0788,trigger0305,noright0117
acciones,,contrato de trabajo,prescribirán,LegalConcept,,argument0119,,argument0286,trigger0451,noright0118
contrato,,obligaciones de registro,se presumirá celebrado,LegalConcept,,argument0283,,argument0693,trigger0587,noright0119
real decreto legislativo,,consulta de las organizaciones sindicales y empresariales más representativas,ha sido sometido,LegalConcept,,argument0810,,argument0272,trigger0268,noright0120
obligaciones de información y consulta,,decisión relativa a la transmisión,se aplicarán,LegalConcept,,argument0690,,argument0342,trigger0519,noright0121
inicio de la misma,,nuevo periodo de excedencia,dará fin,LegalConcept,,argument0538,,argument0679,trigger0105,noright0122
convenio colectivo,,,no podrá ser afectado,LegalConcept,,argument0302,,,trigger0315,noright0123
adopción,,,dará derecho,LegalConcept,,argument0144,,,trigger0104,noright0124
trabajador,,,se podrá estar contratado,LegalAgent,,argument0925,,,trigger0579,noright0125
periodo de suspensión,,,tendrá una duración inicial,LegalConcept,,argument0741,,,trigger0675,noright0126
parte receptora,,,podrá negarse,LegalConcept,,argument0727,,,trigger0391,noright0127
los requisitos,,,se considerará,LegalConcept,,argument0615,,,trigger0530,noright0128
trabajador,,,reclamar,LegalAgent,,argument0925,,,trigger0494,noright0129
periodo de consultas,,,finalice,LegalConcept,,argument0737,,,trigger0259,noright0130
despido,extinción del contrato de trabajo,,convalidará,LegalConcept,LegalConcept,argument0374,argument0492,,trigger0092,noright0131
componentes de la mesa,,,podrá ser,LegalEntity,,argument0240,,,trigger0407,noright0132
contrato para la formación y el aprendizaje,trabajador,modalidad,no podrá ser,LegalConcept,LegalAgent,argument0289,argument0925,argument0651,trigger0313,noright0133
empresas,,,no podrá exceder,LegalEntity,,argument0456,,,trigger0311,noright0134
empresario,grupo de trabajadores,,hubiese celebrado,LegalAgent,LegalConcept,argument0449,argument0506,,trigger0279,noright0135
modificaciones,conceptos retributivos,Ley 11/1994,introducidas,LegalConcept,LegalConcept,argument0654,argument0254,argument0074,trigger0289,noright0136
modificaciones,conceptos retributivos,Estatuto de los Trabajadores,introducidas,LegalConcept,LegalConcept,argument0654,argument0254,argument0036,trigger0289,noright0137
modificaciones,conceptos retributivos,Ley de Procedimiento Laboral,introducidas,LegalConcept,LegalConcept,argument0654,argument0254,argument0075,trigger0289,noright0138
modificaciones,conceptos retributivos,Ley sobre Infracciones y Sanciones en el Orden Social,introducidas,LegalConcept,LegalConcept,argument0654,argument0254,argument0076,trigger0289,noright0139
modificaciones,trabajadores,Ley 11/1994,introducidas,LegalConcept,LegalConcept,argument0654,argument0933,argument0074,trigger0289,noright0140
modificaciones,trabajadores,Estatuto de los Trabajadores,introducidas,LegalConcept,LegalConcept,argument0654,argument0933,argument0036,trigger0289,noright0141
modificaciones,trabajadores,Ley de Procedimiento Laboral,introducidas,LegalConcept,LegalConcept,argument0654,argument0933,argument0075,trigger0289,noright0142
modificaciones,trabajadores,Ley sobre Infracciones y Sanciones en el Orden Social,introducidas,LegalConcept,LegalConcept,argument0654,argument0933,argument0076,trigger0289,noright0143
contrato,,,podrá extinguirse,LegalConcept,,argument0283,,,trigger0382,noright0144
contratos,,,no podrán tener,LegalConcept,,argument0290,,,trigger0324,noright0145
empresa,,,no extinguirá,LegalAgent,,argument0445,,,trigger0303,noright0146
,,,considerarán,,,,,,trigger0078,noright0147
ineptitud,,,no podrá alegarse,LegalConcept,,argument0530,,,trigger0307,noright0148
número de horas ordinarias de trabajo efectivo,,,no podrá ser superior,LegalConcept,,argument0684,,,trigger0317,noright0149
trabajadores nocturnos,,,no podrá exceder,LegalAgent,,argument0946,,,trigger0311,noright0150
Lo previsto en el artículo 47,Administraciones Públicas,,no será de aplicación,LegalConcept,LegalEntity,argument0082,argument0000,,trigger0328,noright0151
Lo previsto en el artículo 47,entidades de derecho público,,no será de aplicación,LegalConcept,LegalEntity,argument0082,argument0470,,trigger0328,noright0152
decisión extintiva,personas trabajadoras,,será nula,LegalConcept,LegalAgent,argument0340,argument0758,,trigger0620,noright0153
contrato de trabajo,,,entenderá celebrado,LegalConcept,,argument0286,,,trigger0205,noright0154
trabajador,,,constituirá,LegalAgent,,argument0925,,,trigger0082,noright0155
periodo de suspensión,,,verá reducido,LegalConcept,,argument0741,,,trigger0712,noright0156
no se computarán,,las horas extraordinarias,compensadas mediante descanso,LegalConcept,,argument0671,,argument0581,trigger0062,noright0157
empresa,,,realice modificaciones sustanciales,LegalAgent,,argument0445,,,trigger0484,noright0158
Administraciones Públicas,,,se entenderá que concurren,LegalEntity,,argument0000,,,trigger0554,noright0159
negativa del trabajador,,realización de estas horas,no constituirá,LegalAgent,,argument0666,,argument0812,trigger0298,noright0160
plan,empresas,aplicación,no será,LegalConcept,LegalEntity,argument0759,argument0456,argument0156,trigger0327,noright0161
decisión empresarial,,,afecte,LegalEntity,,argument0339,,,trigger0042,noright0162
árbitros,,,Serán,LegalAgent,,argument0999,,,trigger0024,noright0163
suma,,,no podrá exceder,LegalConcept,,argument0907,,,trigger0311,noright0164
comités intercentros,,,no podrán arrogarse,LegalConcept,,argument0236,,,trigger0319,noright0165
trabajadores,,,no podrán disponer,LegalAgent,,argument0933,,,trigger0320,noright0166
límite máximo de edad,,,no será de aplicación,LegalConcept,,argument0625,,,trigger0328,noright0167
responsabilidad,,,habrá,LegalConcept,,argument0863,,,trigger0269,noright0168
,,,podrán realizar,,,,,,trigger0439,noright0169
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561,noright0170
ascensos,,,se producirán,LegalConcept,,argument0168,,,trigger0589,noright0171
trabajador,,acuerdo,podrá rescindir,LegalAgent,,argument0925,,argument0135,trigger0406,noright0172
trabajador,,libertad de trabajo,podrá rescindir,LegalAgent,,argument0925,,argument0595,trigger0406,noright0173
periodo de prueba,,contratos temporales de duración determinada del artículo 15,no podrá exceder,LegalConcept,,argument0739,,argument0299,trigger0311,noright0174
trabajadores,,,podrán ser discriminados,LegalAgent,,argument0933,,,trigger0441,noright0175
oficina pública,,,denegación,LegalEntity,,argument0700,,,trigger0179,noright0176
empresario,,,no podrá ser acordada,LegalAgent,,argument0449,,,trigger0314,noright0177
